group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,988322.0,ns,5714
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,2008362.0,ns,11428
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,2975297.0,ns,17142
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,3944318.0,ns,22856
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,4934925.0,ns,28570
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,5947340.0,ns,34284
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,7315016.0,ns,39998
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,8092789.0,ns,45712
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,8936973.0,ns,51426
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,9873108.0,ns,57140
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,10858096.0,ns,62854
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,11876163.0,ns,68568
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,12814096.0,ns,74282
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,13818806.0,ns,79996
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,14804276.0,ns,85710
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,15840051.0,ns,91424
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,16801744.0,ns,97138
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,17798574.0,ns,102852
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,18791441.0,ns,108566
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,19784662.0,ns,114280
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,21318125.0,ns,119994
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,21886679.0,ns,125708
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,22700750.0,ns,131422
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,23648474.0,ns,137136
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,24647487.0,ns,142850
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,25645350.0,ns,148564
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,26702909.0,ns,154278
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,27648981.0,ns,159992
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,28628833.0,ns,165706
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,29642195.0,ns,171420
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,30572279.0,ns,177134
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,31548637.0,ns,182848
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,32576921.0,ns,188562
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,41507820.0,ns,194276
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,34670567.0,ns,199990
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,35519125.0,ns,205704
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,36560658.0,ns,211418
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,37525590.0,ns,217132
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,38494517.0,ns,222846
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,39488570.0,ns,228560
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,41096309.0,ns,234274
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,41558629.0,ns,239988
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,42532907.0,ns,245702
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,43470640.0,ns,251416
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,44402776.0,ns,257130
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,45450478.0,ns,262844
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,46378881.0,ns,268558
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,47363974.0,ns,274272
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,48456658.0,ns,279986
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,49397911.0,ns,285700
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,50468819.0,ns,291414
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,51314666.0,ns,297128
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,52752199.0,ns,302842
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,53580948.0,ns,308556
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,54333720.0,ns,314270
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,55293960.0,ns,319984
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,56285161.0,ns,325698
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,57435137.0,ns,331412
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,58287450.0,ns,337126
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,59315101.0,ns,342840
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,60284891.0,ns,348554
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,61188937.0,ns,354268
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,62107671.0,ns,359982
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,63927102.0,ns,365696
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,64119937.0,ns,371410
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,65252264.0,ns,377124
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,66195594.0,ns,382838
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,67314037.0,ns,388552
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,68266277.0,ns,394266
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,69083528.0,ns,399980
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,70105604.0,ns,405694
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,71133086.0,ns,411408
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,72646663.0,ns,417122
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,73155660.0,ns,422836
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,74194712.0,ns,428550
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,75053537.0,ns,434264
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,76136333.0,ns,439978
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,76940424.0,ns,445692
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,78160198.0,ns,451406
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,79022398.0,ns,457120
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,80683240.0,ns,462834
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,81009919.0,ns,468548
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,82037915.0,ns,474262
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,82858497.0,ns,479976
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,83814538.0,ns,485690
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,85124799.0,ns,491404
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,85855334.0,ns,497118
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,87632806.0,ns,502832
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,88135964.0,ns,508546
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,88838806.0,ns,514260
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,89824930.0,ns,519974
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,90875752.0,ns,525688
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,91857427.0,ns,531402
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,92835622.0,ns,537116
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,93958457.0,ns,542830
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,94925609.0,ns,548544
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,95760535.0,ns,554258
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,96758724.0,ns,559972
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,97846489.0,ns,565686
encode/extended/checked,rust-encoding 0.2.33,96,96,bytes,98723316.0,ns,571400
