group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,yore 0.1.0,192,192,bytes,1001511.0,ns,4134
encode/extended/checked,yore 0.1.0,192,192,bytes,1966994.0,ns,8268
encode/extended/checked,yore 0.1.0,192,192,bytes,2958341.0,ns,12402
encode/extended/checked,yore 0.1.0,192,192,bytes,3930257.0,ns,16536
encode/extended/checked,yore 0.1.0,192,192,bytes,5177863.0,ns,20670
encode/extended/checked,yore 0.1.0,192,192,bytes,5973873.0,ns,24804
encode/extended/checked,yore 0.1.0,192,192,bytes,7376617.0,ns,28938
encode/extended/checked,yore 0.1.0,192,192,bytes,8039251.0,ns,33072
encode/extended/checked,yore 0.1.0,192,192,bytes,9047419.0,ns,37206
encode/extended/checked,yore 0.1.0,192,192,bytes,9841072.0,ns,41340
encode/extended/checked,yore 0.1.0,192,192,bytes,10837349.0,ns,45474
encode/extended/checked,yore 0.1.0,192,192,bytes,11932979.0,ns,49608
encode/extended/checked,yore 0.1.0,192,192,bytes,12926612.0,ns,53742
encode/extended/checked,yore 0.1.0,192,192,bytes,13835736.0,ns,57876
encode/extended/checked,yore 0.1.0,192,192,bytes,14824183.0,ns,62010
encode/extended/checked,yore 0.1.0,192,192,bytes,15746740.0,ns,66144
encode/extended/checked,yore 0.1.0,192,192,bytes,16797916.0,ns,70278
encode/extended/checked,yore 0.1.0,192,192,bytes,17787749.0,ns,74412
encode/extended/checked,yore 0.1.0,192,192,bytes,18787001.0,ns,78546
encode/extended/checked,yore 0.1.0,192,192,bytes,20020262.0,ns,82680
encode/extended/checked,yore 0.1.0,192,192,bytes,21100290.0,ns,86814
encode/extended/checked,yore 0.1.0,192,192,bytes,21728839.0,ns,90948
encode/extended/checked,yore 0.1.0,192,192,bytes,22692744.0,ns,95082
encode/extended/checked,yore 0.1.0,192,192,bytes,23680710.0,ns,99216
encode/extended/checked,yore 0.1.0,192,192,bytes,24701701.0,ns,103350
encode/extended/checked,yore 0.1.0,192,192,bytes,25653330.0,ns,107484
encode/extended/checked,yore 0.1.0,192,192,bytes,26938795.0,ns,111618
encode/extended/checked,yore 0.1.0,192,192,bytes,27659218.0,ns,115752
encode/extended/checked,yore 0.1.0,192,192,bytes,28779732.0,ns,119886
encode/extended/checked,yore 0.1.0,192,192,bytes,29638969.0,ns,124020
encode/extended/checked,yore 0.1.0,192,192,bytes,30722226.0,ns,128154
encode/extended/checked,yore 0.1.0,192,192,bytes,31574879.0,ns,132288
encode/extended/checked,yore 0.1.0,192,192,bytes,34103430.0,ns,136422
encode/extended/checked,yore 0.1.0,192,192,bytes,34051894.0,ns,140556
encode/extended/checked,yore 0.1.0,192,192,bytes,34653675.0,ns,144690
encode/extended/checked,yore 0.1.0,192,192,bytes,35468372.0,ns,148824
encode/extended/checked,yore 0.1.0,192,192,bytes,36575818.0,ns,152958
encode/extended/checked,yore 0.1.0,192,192,bytes,37594691.0,ns,157092
encode/extended/checked,yore 0.1.0,192,192,bytes,38704234.0,ns,161226
encode/extended/checked,yore 0.1.0,192,192,bytes,39935730.0,ns,165360
encode/extended/checked,yore 0.1.0,192,192,bytes,40575112.0,ns,169494
encode/extended/checked,yore 0.1.0,192,192,bytes,41401273.0,ns,173628
