group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,yore 0.1.0,96,96,bytes,1015073.0,ns,8221
encode/extended/checked,yore 0.1.0,96,96,bytes,1971769.0,ns,16442
encode/extended/checked,yore 0.1.0,96,96,bytes,2939668.0,ns,24663
encode/extended/checked,yore 0.1.0,96,96,bytes,3917372.0,ns,32884
encode/extended/checked,yore 0.1.0,96,96,bytes,4923001.0,ns,41105
encode/extended/checked,yore 0.1.0,96,96,bytes,5881476.0,ns,49326
encode/extended/checked,yore 0.1.0,96,96,bytes,7215482.0,ns,57547
encode/extended/checked,yore 0.1.0,96,96,bytes,8058160.0,ns,65768
encode/extended/checked,yore 0.1.0,96,96,bytes,8923186.0,ns,73989
encode/extended/checked,yore 0.1.0,96,96,bytes,9969013.0,ns,82210
encode/extended/checked,yore 0.1.0,96,96,bytes,10828803.0,ns,90431
encode/extended/checked,yore 0.1.0,96,96,bytes,11822513.0,ns,98652
encode/extended/checked,yore 0.1.0,96,96,bytes,12882712.0,ns,106873
encode/extended/checked,yore 0.1.0,96,96,bytes,13911692.0,ns,115094
encode/extended/checked,yore 0.1.0,96,96,bytes,14900915.0,ns,123315
encode/extended/checked,yore 0.1.0,96,96,bytes,15842319.0,ns,131536
encode/extended/checked,yore 0.1.0,96,96,bytes,16840583.0,ns,139757
encode/extended/checked,yore 0.1.0,96,96,bytes,17902167.0,ns,147978
encode/extended/checked,yore 0.1.0,96,96,bytes,18731807.0,ns,156199
encode/extended/checked,yore 0.1.0,96,96,bytes,19739935.0,ns,164420
encode/extended/checked,yore 0.1.0,96,96,bytes,20872942.0,ns,172641
encode/extended/checked,yore 0.1.0,96,96,bytes,21768232.0,ns,180862
encode/extended/checked,yore 0.1.0,96,96,bytes,22764011.0,ns,189083
encode/extended/checked,yore 0.1.0,96,96,bytes,23642685.0,ns,197304
encode/extended/checked,yore 0.1.0,96,96,bytes,24997074.0,ns,205525
encode/extended/checked,yore 0.1.0,96,96,bytes,25722385.0,ns,213746
encode/extended/checked,yore 0.1.0,96,96,bytes,26695935.0,ns,221967
encode/extended/checked,yore 0.1.0,96,96,bytes,27717677.0,ns,230188
encode/extended/checked,yore 0.1.0,96,96,bytes,28779850.0,ns,238409
encode/extended/checked,yore 0.1.0,96,96,bytes,29626975.0,ns,246630
encode/extended/checked,yore 0.1.0,96,96,bytes,30604747.0,ns,254851
encode/extended/checked,yore 0.1.0,96,96,bytes,31722079.0,ns,263072
encode/extended/checked,yore 0.1.0,96,96,bytes,32761656.0,ns,271293
encode/extended/checked,yore 0.1.0,96,96,bytes,33641634.0,ns,279514
encode/extended/checked,yore 0.1.0,96,96,bytes,35011165.0,ns,287735
encode/extended/checked,yore 0.1.0,96,96,bytes,35530620.0,ns,295956
encode/extended/checked,yore 0.1.0,96,96,bytes,36629252.0,ns,304177
encode/extended/checked,yore 0.1.0,96,96,bytes,37631745.0,ns,312398
encode/extended/checked,yore 0.1.0,96,96,bytes,38565104.0,ns,320619
encode/extended/checked,yore 0.1.0,96,96,bytes,39722491.0,ns,328840
encode/extended/checked,yore 0.1.0,96,96,bytes,40562120.0,ns,337061
encode/extended/checked,yore 0.1.0,96,96,bytes,41323654.0,ns,345282
encode/extended/checked,yore 0.1.0,96,96,bytes,42714577.0,ns,353503
encode/extended/checked,yore 0.1.0,96,96,bytes,43456895.0,ns,361724
encode/extended/checked,yore 0.1.0,96,96,bytes,44513967.0,ns,369945
encode/extended/checked,yore 0.1.0,96,96,bytes,45356697.0,ns,378166
encode/extended/checked,yore 0.1.0,96,96,bytes,46223622.0,ns,386387
encode/extended/checked,yore 0.1.0,96,96,bytes,47543455.0,ns,394608
encode/extended/checked,yore 0.1.0,96,96,bytes,48757754.0,ns,402829
encode/extended/checked,yore 0.1.0,96,96,bytes,49536113.0,ns,411050
encode/extended/checked,yore 0.1.0,96,96,bytes,50491413.0,ns,419271
encode/extended/checked,yore 0.1.0,96,96,bytes,51350116.0,ns,427492
encode/extended/checked,yore 0.1.0,96,96,bytes,52234376.0,ns,435713
encode/extended/checked,yore 0.1.0,96,96,bytes,53257659.0,ns,443934
encode/extended/checked,yore 0.1.0,96,96,bytes,54407065.0,ns,452155
encode/extended/checked,yore 0.1.0,96,96,bytes,55565954.0,ns,460376
encode/extended/checked,yore 0.1.0,96,96,bytes,56421333.0,ns,468597
encode/extended/checked,yore 0.1.0,96,96,bytes,57337513.0,ns,476818
encode/extended/checked,yore 0.1.0,96,96,bytes,58380978.0,ns,485039
encode/extended/checked,yore 0.1.0,96,96,bytes,59492963.0,ns,493260
encode/extended/checked,yore 0.1.0,96,96,bytes,60835217.0,ns,501481
encode/extended/checked,yore 0.1.0,96,96,bytes,61300590.0,ns,509702
encode/extended/checked,yore 0.1.0,96,96,bytes,62420084.0,ns,517923
encode/extended/checked,yore 0.1.0,96,96,bytes,63532857.0,ns,526144
encode/extended/checked,yore 0.1.0,96,96,bytes,64342062.0,ns,534365
encode/extended/checked,yore 0.1.0,96,96,bytes,65416011.0,ns,542586
encode/extended/checked,yore 0.1.0,96,96,bytes,66367729.0,ns,550807
encode/extended/checked,yore 0.1.0,96,96,bytes,67325554.0,ns,559028
encode/extended/checked,yore 0.1.0,96,96,bytes,68119289.0,ns,567249
encode/extended/checked,yore 0.1.0,96,96,bytes,69695044.0,ns,575470
encode/extended/checked,yore 0.1.0,96,96,bytes,77196327.0,ns,583691
encode/extended/checked,yore 0.1.0,96,96,bytes,71204247.0,ns,591912
encode/extended/checked,yore 0.1.0,96,96,bytes,72415528.0,ns,600133
encode/extended/checked,yore 0.1.0,96,96,bytes,73150950.0,ns,608354
encode/extended/checked,yore 0.1.0,96,96,bytes,74279802.0,ns,616575
encode/extended/checked,yore 0.1.0,96,96,bytes,75143714.0,ns,624796
encode/extended/checked,yore 0.1.0,96,96,bytes,76066406.0,ns,633017
encode/extended/checked,yore 0.1.0,96,96,bytes,77609896.0,ns,641238
encode/extended/checked,yore 0.1.0,96,96,bytes,78062876.0,ns,649459
encode/extended/checked,yore 0.1.0,96,96,bytes,78923823.0,ns,657680
encode/extended/checked,yore 0.1.0,96,96,bytes,79989982.0,ns,665901
encode/extended/checked,yore 0.1.0,96,96,bytes,81161421.0,ns,674122
encode/extended/checked,yore 0.1.0,96,96,bytes,81894337.0,ns,682343
encode/extended/checked,yore 0.1.0,96,96,bytes,83120653.0,ns,690564
encode/extended/checked,yore 0.1.0,96,96,bytes,84438645.0,ns,698785
encode/extended/checked,yore 0.1.0,96,96,bytes,84997285.0,ns,707006
encode/extended/checked,yore 0.1.0,96,96,bytes,86040156.0,ns,715227
encode/extended/checked,yore 0.1.0,96,96,bytes,87156791.0,ns,723448
encode/extended/checked,yore 0.1.0,96,96,bytes,87889730.0,ns,731669
encode/extended/checked,yore 0.1.0,96,96,bytes,88930321.0,ns,739890
encode/extended/checked,yore 0.1.0,96,96,bytes,90009093.0,ns,748111
encode/extended/checked,yore 0.1.0,96,96,bytes,91305331.0,ns,756332
encode/extended/checked,yore 0.1.0,96,96,bytes,92093120.0,ns,764553
encode/extended/checked,yore 0.1.0,96,96,bytes,93217222.0,ns,772774
encode/extended/checked,yore 0.1.0,96,96,bytes,94236949.0,ns,780995
encode/extended/checked,yore 0.1.0,96,96,bytes,94730908.0,ns,789216
encode/extended/checked,yore 0.1.0,96,96,bytes,96124727.0,ns,797437
encode/extended/checked,yore 0.1.0,96,96,bytes,97031949.0,ns,805658
encode/extended/checked,yore 0.1.0,96,96,bytes,98603765.0,ns,813879
encode/extended/checked,yore 0.1.0,96,96,bytes,99029861.0,ns,822100
