group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,1012748.0,ns,6586
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,1972305.0,ns,13172
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,2960219.0,ns,19758
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,3945930.0,ns,26344
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,4932308.0,ns,32930
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,5928455.0,ns,39516
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,7271090.0,ns,46102
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,7988287.0,ns,52688
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,8974492.0,ns,59274
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,9900515.0,ns,65860
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,10861292.0,ns,72446
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,11848660.0,ns,79032
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,12837678.0,ns,85618
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,13813321.0,ns,92204
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,14833101.0,ns,98790
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,15813307.0,ns,105376
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,16775188.0,ns,111962
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,17799632.0,ns,118548
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,18769641.0,ns,125134
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,19809287.0,ns,131720
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,20789501.0,ns,138306
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,21771988.0,ns,144892
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,22710830.0,ns,151478
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,23753315.0,ns,158064
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,24710185.0,ns,164650
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,25650855.0,ns,171236
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,27012190.0,ns,177822
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,27889621.0,ns,184408
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,28690845.0,ns,190994
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,29632306.0,ns,197580
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,30600037.0,ns,204166
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,31666365.0,ns,210752
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,32560413.0,ns,217338
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,33632347.0,ns,223924
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,34531221.0,ns,230510
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,35573148.0,ns,237096
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,36531162.0,ns,243682
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,37659460.0,ns,250268
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,38613324.0,ns,256854
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,39510990.0,ns,263440
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,40487766.0,ns,270026
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,41444502.0,ns,276612
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,42549171.0,ns,283198
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,43942857.0,ns,289784
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,44474175.0,ns,296370
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,45424680.0,ns,302956
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,46423004.0,ns,309542
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,47443000.0,ns,316128
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,48446523.0,ns,322714
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,49494814.0,ns,329300
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,50595157.0,ns,335886
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,51326041.0,ns,342472
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,52331864.0,ns,349058
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,53405456.0,ns,355644
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,54419720.0,ns,362230
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,55747652.0,ns,368816
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,56403938.0,ns,375402
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,57387730.0,ns,381988
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,58367260.0,ns,388574
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,59320126.0,ns,395160
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,60272502.0,ns,401746
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,61233524.0,ns,408332
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,62298120.0,ns,414918
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,63418027.0,ns,421504
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,64190302.0,ns,428090
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,65658534.0,ns,434676
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,66176963.0,ns,441262
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,67290252.0,ns,447848
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,68175411.0,ns,454434
encode/extended/lossy,oem_cp 1.1.0,48,48,bytes,69115700.0,ns,461020
