group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,1147895.0,ns,4118
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,1971870.0,ns,8236
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,3071185.0,ns,12354
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,4165020.0,ns,16472
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,4979506.0,ns,20590
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,5957214.0,ns,24708
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,6917123.0,ns,28826
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,7936950.0,ns,32944
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,8885119.0,ns,37062
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,9857553.0,ns,41180
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,10923372.0,ns,45298
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,11842528.0,ns,49416
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,12846636.0,ns,53534
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,13832579.0,ns,57652
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,14783927.0,ns,61770
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,15788885.0,ns,65888
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,16827096.0,ns,70006
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,17768252.0,ns,74124
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,18787604.0,ns,78242
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,19766980.0,ns,82360
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,20747909.0,ns,86478
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,21730922.0,ns,90596
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,22754123.0,ns,94714
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,23823858.0,ns,98832
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,24806848.0,ns,102950
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,25713533.0,ns,107068
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,26636770.0,ns,111186
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,27626251.0,ns,115304
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,28619551.0,ns,119422
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,29677979.0,ns,123540
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,30573852.0,ns,127658
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,31574721.0,ns,131776
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,32706127.0,ns,135894
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,33587266.0,ns,140012
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,34645989.0,ns,144130
encode/extended/lossy,oem_cp 1.1.0,96,96,bytes,35549323.0,ns,148248
