group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,1015820.0,ns,3186
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,1971771.0,ns,6372
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,2960181.0,ns,9558
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,3955976.0,ns,12744
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,4937257.0,ns,15930
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,5953521.0,ns,19116
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,7266355.0,ns,22302
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,7930129.0,ns,25488
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,8925911.0,ns,28674
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,9882048.0,ns,31860
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,10877110.0,ns,35046
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,11842215.0,ns,38232
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,12833646.0,ns,41418
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,13811078.0,ns,44604
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,14812514.0,ns,47790
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,15803583.0,ns,50976
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,16805176.0,ns,54162
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,17857736.0,ns,57348
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,18873985.0,ns,60534
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,19885383.0,ns,63720
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,20741228.0,ns,66906
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,21738012.0,ns,70092
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,22717026.0,ns,73278
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,23705035.0,ns,76464
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,24655404.0,ns,79650
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,25772275.0,ns,82836
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,26700174.0,ns,86022
encode/extended/lossy,rust-encoding 0.2.33,192,192,bytes,29041228.0,ns,89208
