group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,1014659.0,ns,1686
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,1978074.0,ns,3372
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,2960350.0,ns,5058
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,3934723.0,ns,6744
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,4949838.0,ns,8430
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,5965994.0,ns,10116
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,7237768.0,ns,11802
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,7998089.0,ns,13488
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,8891987.0,ns,15174
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,9867941.0,ns,16860
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,10826120.0,ns,18546
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,11853776.0,ns,20232
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,12785853.0,ns,21918
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,13840091.0,ns,23604
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,14798069.0,ns,25290
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,15812120.0,ns,26976
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,16759353.0,ns,28662
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,17772396.0,ns,30348
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,18797108.0,ns,32034
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,19704217.0,ns,33720
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,20688229.0,ns,35406
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,21724909.0,ns,37092
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,22775482.0,ns,38778
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,23653973.0,ns,40464
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,24675112.0,ns,42150
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,25607918.0,ns,43836
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,26796247.0,ns,45522
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,27695802.0,ns,47208
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,28636302.0,ns,48894
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,29642562.0,ns,50580
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,30541755.0,ns,52266
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,32051071.0,ns,53952
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,32507571.0,ns,55638
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,33512653.0,ns,57324
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,34553848.0,ns,59010
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,35528593.0,ns,60696
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,36530138.0,ns,62382
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,37440640.0,ns,64068
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,38459635.0,ns,65754
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,39416465.0,ns,67440
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,40432970.0,ns,69126
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,41397239.0,ns,70812
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,42410016.0,ns,72498
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,43392435.0,ns,74184
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,44373616.0,ns,75870
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,45345177.0,ns,77556
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,46845127.0,ns,79242
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,47271060.0,ns,80928
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,48503945.0,ns,82614
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,49264139.0,ns,84300
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,50273581.0,ns,85986
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,51306933.0,ns,87672
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,52205476.0,ns,89358
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,53425431.0,ns,91044
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,54259471.0,ns,92730
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,55246759.0,ns,94416
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,56257676.0,ns,96102
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,57259196.0,ns,97788
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,58619612.0,ns,99474
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,59185854.0,ns,101160
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,60490468.0,ns,102846
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,61200642.0,ns,104532
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,62207798.0,ns,106218
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,63212830.0,ns,107904
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,64243692.0,ns,109590
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,65082867.0,ns,111276
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,66044148.0,ns,112962
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,67590106.0,ns,114648
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,67959919.0,ns,116334
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,69122715.0,ns,118020
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,70126236.0,ns,119706
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,70926801.0,ns,121392
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,72088708.0,ns,123078
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,73006872.0,ns,124764
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,73993263.0,ns,126450
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,74894229.0,ns,128136
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,76590482.0,ns,129822
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,76954534.0,ns,131508
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,77880322.0,ns,133194
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,78916821.0,ns,134880
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,79843750.0,ns,136566
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,80848128.0,ns,138252
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,81976785.0,ns,139938
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,83462605.0,ns,141624
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,83870855.0,ns,143310
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,85005865.0,ns,144996
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,85889534.0,ns,146682
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,86764409.0,ns,148368
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,87977026.0,ns,150054
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,88739552.0,ns,151740
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,90365880.0,ns,153426
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,90782329.0,ns,155112
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,91801489.0,ns,156798
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,92802696.0,ns,158484
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,93774754.0,ns,160170
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,94733028.0,ns,161856
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,95773088.0,ns,163542
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,97155807.0,ns,165228
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,97776909.0,ns,166914
encode/extended/lossy,rust-encoding 0.2.33,384,384,bytes,98657471.0,ns,168600
