group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,yore 0.1.0,192,192,bytes,1001582.0,ns,4307
encode/extended/lossy,yore 0.1.0,192,192,bytes,1979087.0,ns,8614
encode/extended/lossy,yore 0.1.0,192,192,bytes,2945254.0,ns,12921
encode/extended/lossy,yore 0.1.0,192,192,bytes,3945652.0,ns,17228
encode/extended/lossy,yore 0.1.0,192,192,bytes,5273450.0,ns,21535
encode/extended/lossy,yore 0.1.0,192,192,bytes,5923781.0,ns,25842
encode/extended/lossy,yore 0.1.0,192,192,bytes,7264839.0,ns,30149
encode/extended/lossy,yore 0.1.0,192,192,bytes,8081396.0,ns,34456
encode/extended/lossy,yore 0.1.0,192,192,bytes,9416444.0,ns,38763
encode/extended/lossy,yore 0.1.0,192,192,bytes,9868576.0,ns,43070
encode/extended/lossy,yore 0.1.0,192,192,bytes,10888071.0,ns,47377
encode/extended/lossy,yore 0.1.0,192,192,bytes,11847840.0,ns,51684
encode/extended/lossy,yore 0.1.0,192,192,bytes,12859838.0,ns,55991
encode/extended/lossy,yore 0.1.0,192,192,bytes,13825825.0,ns,60298
encode/extended/lossy,yore 0.1.0,192,192,bytes,14820060.0,ns,64605
encode/extended/lossy,yore 0.1.0,192,192,bytes,15820145.0,ns,68912
encode/extended/lossy,yore 0.1.0,192,192,bytes,16897671.0,ns,73219
encode/extended/lossy,yore 0.1.0,192,192,bytes,17810566.0,ns,77526
encode/extended/lossy,yore 0.1.0,192,192,bytes,18805739.0,ns,81833
encode/extended/lossy,yore 0.1.0,192,192,bytes,19749835.0,ns,86140
encode/extended/lossy,yore 0.1.0,192,192,bytes,20771368.0,ns,90447
encode/extended/lossy,yore 0.1.0,192,192,bytes,21771152.0,ns,94754
encode/extended/lossy,yore 0.1.0,192,192,bytes,22800417.0,ns,99061
encode/extended/lossy,yore 0.1.0,192,192,bytes,23668072.0,ns,103368
encode/extended/lossy,yore 0.1.0,192,192,bytes,24700051.0,ns,107675
encode/extended/lossy,yore 0.1.0,192,192,bytes,25695913.0,ns,111982
encode/extended/lossy,yore 0.1.0,192,192,bytes,27061602.0,ns,116289
encode/extended/lossy,yore 0.1.0,192,192,bytes,28410908.0,ns,120596
encode/extended/lossy,yore 0.1.0,192,192,bytes,28658859.0,ns,124903
encode/extended/lossy,yore 0.1.0,192,192,bytes,29639290.0,ns,129210
encode/extended/lossy,yore 0.1.0,192,192,bytes,30680336.0,ns,133517
encode/extended/lossy,yore 0.1.0,192,192,bytes,31730718.0,ns,137824
encode/extended/lossy,yore 0.1.0,192,192,bytes,32578245.0,ns,142131
encode/extended/lossy,yore 0.1.0,192,192,bytes,33603036.0,ns,146438
encode/extended/lossy,yore 0.1.0,192,192,bytes,34579111.0,ns,150745
encode/extended/lossy,yore 0.1.0,192,192,bytes,35568158.0,ns,155052
encode/extended/lossy,yore 0.1.0,192,192,bytes,36592510.0,ns,159359
encode/extended/lossy,yore 0.1.0,192,192,bytes,37565502.0,ns,163666
encode/extended/lossy,yore 0.1.0,192,192,bytes,38680695.0,ns,167973
encode/extended/lossy,yore 0.1.0,192,192,bytes,39489528.0,ns,172280
encode/extended/lossy,yore 0.1.0,192,192,bytes,40550697.0,ns,176587
encode/extended/lossy,yore 0.1.0,192,192,bytes,41532030.0,ns,180894
encode/extended/lossy,yore 0.1.0,192,192,bytes,42471020.0,ns,185201
encode/extended/lossy,yore 0.1.0,192,192,bytes,43900676.0,ns,189508
encode/extended/lossy,yore 0.1.0,192,192,bytes,45234269.0,ns,193815
encode/extended/lossy,yore 0.1.0,192,192,bytes,45363571.0,ns,198122
encode/extended/lossy,yore 0.1.0,192,192,bytes,46447771.0,ns,202429
encode/extended/lossy,yore 0.1.0,192,192,bytes,47351500.0,ns,206736
encode/extended/lossy,yore 0.1.0,192,192,bytes,48362672.0,ns,211043
encode/extended/lossy,yore 0.1.0,192,192,bytes,49454707.0,ns,215350
encode/extended/lossy,yore 0.1.0,192,192,bytes,50540504.0,ns,219657
encode/extended/lossy,yore 0.1.0,192,192,bytes,51368401.0,ns,223964
encode/extended/lossy,yore 0.1.0,192,192,bytes,52406390.0,ns,228271
encode/extended/lossy,yore 0.1.0,192,192,bytes,53271528.0,ns,232578
encode/extended/lossy,yore 0.1.0,192,192,bytes,54490714.0,ns,236885
encode/extended/lossy,yore 0.1.0,192,192,bytes,55686653.0,ns,241192
encode/extended/lossy,yore 0.1.0,192,192,bytes,56868772.0,ns,245499
encode/extended/lossy,yore 0.1.0,192,192,bytes,57230897.0,ns,249806
encode/extended/lossy,yore 0.1.0,192,192,bytes,58242228.0,ns,254113
encode/extended/lossy,yore 0.1.0,192,192,bytes,59446375.0,ns,258420
encode/extended/lossy,yore 0.1.0,192,192,bytes,60206351.0,ns,262727
encode/extended/lossy,yore 0.1.0,192,192,bytes,61334096.0,ns,267034
encode/extended/lossy,yore 0.1.0,192,192,bytes,62217439.0,ns,271341
encode/extended/lossy,yore 0.1.0,192,192,bytes,63407084.0,ns,275648
encode/extended/lossy,yore 0.1.0,192,192,bytes,64262465.0,ns,279955
