group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/lossy,yore 0.1.0,192,192,bytes,1092295.0,ns,4074
encode/extended/lossy,yore 0.1.0,192,192,bytes,1963166.0,ns,8148
encode/extended/lossy,yore 0.1.0,192,192,bytes,3077454.0,ns,12222
encode/extended/lossy,yore 0.1.0,192,192,bytes,4154241.0,ns,16296
encode/extended/lossy,yore 0.1.0,192,192,bytes,5003019.0,ns,20370
encode/extended/lossy,yore 0.1.0,192,192,bytes,6008317.0,ns,24444
encode/extended/lossy,yore 0.1.0,192,192,bytes,6938162.0,ns,28518
encode/extended/lossy,yore 0.1.0,192,192,bytes,7887746.0,ns,32592
encode/extended/lossy,yore 0.1.0,192,192,bytes,8828532.0,ns,36666
encode/extended/lossy,yore 0.1.0,192,192,bytes,9798829.0,ns,40740
encode/extended/lossy,yore 0.1.0,192,192,bytes,10887901.0,ns,44814
encode/extended/lossy,yore 0.1.0,192,192,bytes,11889588.0,ns,48888
encode/extended/lossy,yore 0.1.0,192,192,bytes,12850187.0,ns,52962
encode/extended/lossy,yore 0.1.0,192,192,bytes,13860068.0,ns,57036
encode/extended/lossy,yore 0.1.0,192,192,bytes,14890688.0,ns,61110
encode/extended/lossy,yore 0.1.0,192,192,bytes,15829031.0,ns,65184
encode/extended/lossy,yore 0.1.0,192,192,bytes,16871428.0,ns,69258
encode/extended/lossy,yore 0.1.0,192,192,bytes,17872851.0,ns,73332
encode/extended/lossy,yore 0.1.0,192,192,bytes,18915487.0,ns,77406
encode/extended/lossy,yore 0.1.0,192,192,bytes,19705162.0,ns,81480
encode/extended/lossy,yore 0.1.0,192,192,bytes,20711157.0,ns,85554
encode/extended/lossy,yore 0.1.0,192,192,bytes,21838183.0,ns,89628
encode/extended/lossy,yore 0.1.0,192,192,bytes,22837777.0,ns,93702
encode/extended/lossy,yore 0.1.0,192,192,bytes,23742351.0,ns,97776
encode/extended/lossy,yore 0.1.0,192,192,bytes,24894091.0,ns,101850
encode/extended/lossy,yore 0.1.0,192,192,bytes,25757255.0,ns,105924
encode/extended/lossy,yore 0.1.0,192,192,bytes,26691570.0,ns,109998
encode/extended/lossy,yore 0.1.0,192,192,bytes,27735254.0,ns,114072
encode/extended/lossy,yore 0.1.0,192,192,bytes,28656345.0,ns,118146
encode/extended/lossy,yore 0.1.0,192,192,bytes,29685890.0,ns,122220
encode/extended/lossy,yore 0.1.0,192,192,bytes,30635357.0,ns,126294
encode/extended/lossy,yore 0.1.0,192,192,bytes,31568239.0,ns,130368
encode/extended/lossy,yore 0.1.0,192,192,bytes,32609971.0,ns,134442
encode/extended/lossy,yore 0.1.0,192,192,bytes,33668388.0,ns,138516
encode/extended/lossy,yore 0.1.0,192,192,bytes,34491918.0,ns,142590
encode/extended/lossy,yore 0.1.0,192,192,bytes,35540197.0,ns,146664
encode/extended/lossy,yore 0.1.0,192,192,bytes,36634143.0,ns,150738
encode/extended/lossy,yore 0.1.0,192,192,bytes,37638187.0,ns,154812
encode/extended/lossy,yore 0.1.0,192,192,bytes,38403190.0,ns,158886
