group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,1150973.0,ns,6082
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,1982193.0,ns,12164
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,3088514.0,ns,18246
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,4103857.0,ns,24328
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,5020332.0,ns,30410
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,5946296.0,ns,36492
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,6919615.0,ns,42574
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,7948563.0,ns,48656
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,8930089.0,ns,54738
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,9880593.0,ns,60820
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,10883942.0,ns,66902
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,11878177.0,ns,72984
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,12923037.0,ns,79066
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,13809673.0,ns,85148
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,14815396.0,ns,91230
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,15828525.0,ns,97312
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,16801324.0,ns,103394
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,17786631.0,ns,109476
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,18743680.0,ns,115558
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,19769635.0,ns,121640
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,20779839.0,ns,127722
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,21753215.0,ns,133804
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,22731302.0,ns,139886
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,23711606.0,ns,145968
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,24782467.0,ns,152050
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,25793027.0,ns,158132
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,26612531.0,ns,164214
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,27850730.0,ns,170296
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,28584754.0,ns,176378
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,29609455.0,ns,182460
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,31061047.0,ns,188542
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,31703010.0,ns,194624
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,32664875.0,ns,200706
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,33745782.0,ns,206788
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,34653663.0,ns,212870
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,35625296.0,ns,218952
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,36578352.0,ns,225034
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,37565681.0,ns,231116
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,38575082.0,ns,237198
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,39582439.0,ns,243280
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,40565196.0,ns,249362
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,41726575.0,ns,255444
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,42892139.0,ns,261526
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,43567045.0,ns,267608
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,44680556.0,ns,273690
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,45398906.0,ns,279772
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,46379601.0,ns,285854
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,47504707.0,ns,291936
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,48455886.0,ns,298018
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,49445317.0,ns,304100
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,50483760.0,ns,310182
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,51572808.0,ns,316264
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,52591125.0,ns,322346
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,53347406.0,ns,328428
encode/middle_bad/checked,oem_cp 1.1.0,120,120,bytes,54499339.0,ns,334510
