group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,989535.0,ns,11379
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,1966982.0,ns,22758
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,2946773.0,ns,34137
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,3934562.0,ns,45516
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,4970553.0,ns,56895
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,5932451.0,ns,68274
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,7340426.0,ns,79653
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,8199547.0,ns,91032
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,8942941.0,ns,102411
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,9916865.0,ns,113790
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,10853096.0,ns,125169
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,11944169.0,ns,136548
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,12914231.0,ns,147927
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,13896055.0,ns,159306
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,14871612.0,ns,170685
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,15766489.0,ns,182064
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,16749597.0,ns,193443
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,17713632.0,ns,204822
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,19463222.0,ns,216201
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,19852773.0,ns,227580
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,20779184.0,ns,238959
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,21742349.0,ns,250338
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,22732927.0,ns,261717
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,23631560.0,ns,273096
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,24719068.0,ns,284475
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,25749881.0,ns,295854
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,26660325.0,ns,307233
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,27680276.0,ns,318612
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,28720514.0,ns,329991
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,29567856.0,ns,341370
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,30634834.0,ns,352749
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,31595597.0,ns,364128
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,32598810.0,ns,375507
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,33726562.0,ns,386886
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,34591750.0,ns,398265
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,35706256.0,ns,409644
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,36492291.0,ns,421023
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,37537591.0,ns,432402
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,38550530.0,ns,443781
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,40135689.0,ns,455160
encode/middle_bad/checked,oem_cp 1.1.0,60,60,bytes,40677029.0,ns,466539
