group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,1019754.0,ns,7476
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,1972669.0,ns,14952
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,2965158.0,ns,22428
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,3949112.0,ns,29904
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,4979266.0,ns,37380
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,5917078.0,ns,44856
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,7049739.0,ns,52332
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,8121648.0,ns,59808
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,8928962.0,ns,67284
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,9858785.0,ns,74760
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,10906916.0,ns,82236
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,11893056.0,ns,89712
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,12861130.0,ns,97188
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,13834458.0,ns,104664
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,14849213.0,ns,112140
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,15775897.0,ns,119616
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,16772641.0,ns,127092
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,17745171.0,ns,134568
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,18769921.0,ns,142044
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,19749480.0,ns,149520
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,20793179.0,ns,156996
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,21686985.0,ns,164472
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,22673606.0,ns,171948
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,23694261.0,ns,179424
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,24640135.0,ns,186900
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,25748501.0,ns,194376
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,26960802.0,ns,201852
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,27824057.0,ns,209328
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,28577701.0,ns,216804
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,29641194.0,ns,224280
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,30595019.0,ns,231756
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,31659073.0,ns,239232
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,32539964.0,ns,246708
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,33653174.0,ns,254184
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,34692606.0,ns,261660
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,35629045.0,ns,269136
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,36536846.0,ns,276612
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,37468711.0,ns,284088
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,38542237.0,ns,291564
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,39448615.0,ns,299040
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,40529407.0,ns,306516
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,41465529.0,ns,313992
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,42366677.0,ns,321468
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,43959940.0,ns,328944
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,44562154.0,ns,336420
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,45363120.0,ns,343896
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,46427545.0,ns,351372
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,47370712.0,ns,358848
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,48453309.0,ns,366324
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,49360812.0,ns,373800
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,50306119.0,ns,381276
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,51554892.0,ns,388752
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,52335384.0,ns,396228
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,53272447.0,ns,403704
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,54295519.0,ns,411180
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,55592606.0,ns,418656
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,56450215.0,ns,426132
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,57461037.0,ns,433608
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,58261261.0,ns,441084
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,59143923.0,ns,448560
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,60292148.0,ns,456036
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,61147842.0,ns,463512
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,62231162.0,ns,470988
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,63162665.0,ns,478464
encode/middle_bad/checked,rust-encoding 0.2.33,120,120,bytes,64211624.0,ns,485940
