group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,1148360.0,ns,2573
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,1992945.0,ns,5146
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,3088555.0,ns,7719
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,4095774.0,ns,10292
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,5056124.0,ns,12865
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,6008678.0,ns,15438
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,6968372.0,ns,18011
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,7891331.0,ns,20584
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,8919483.0,ns,23157
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,9948985.0,ns,25730
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,10883483.0,ns,28303
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,11883362.0,ns,30876
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,12768162.0,ns,33449
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,13827791.0,ns,36022
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,14865624.0,ns,38595
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,15853375.0,ns,41168
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,16794737.0,ns,43741
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,17782917.0,ns,46314
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,18716988.0,ns,48887
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,19831545.0,ns,51460
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,20732037.0,ns,54033
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,21795272.0,ns,56606
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,22754039.0,ns,59179
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,23770170.0,ns,61752
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,24727348.0,ns,64325
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,25785668.0,ns,66898
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,26688456.0,ns,69471
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,27706985.0,ns,72044
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,28659654.0,ns,74617
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,29616639.0,ns,77190
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,30732590.0,ns,79763
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,31764004.0,ns,82336
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,32647460.0,ns,84909
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,33707562.0,ns,87482
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,34589818.0,ns,90055
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,35499895.0,ns,92628
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,36588312.0,ns,95201
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,37577601.0,ns,97774
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,38750306.0,ns,100347
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,39524316.0,ns,102920
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,40577007.0,ns,105493
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,41573045.0,ns,108066
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,42612190.0,ns,110639
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,43450807.0,ns,113212
encode/middle_bad/checked,rust-encoding 0.2.33,480,480,bytes,44632020.0,ns,115785
