group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,1017875.0,ns,1229
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,1970564.0,ns,2458
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,2965660.0,ns,3687
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,3976228.0,ns,4916
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,4969561.0,ns,6145
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,5857813.0,ns,7374
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,7347207.0,ns,8603
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,8052426.0,ns,9832
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,8987702.0,ns,11061
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,9866161.0,ns,12290
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,11213223.0,ns,13519
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,11922831.0,ns,14748
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,12813417.0,ns,15977
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,13864102.0,ns,17206
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,14915820.0,ns,18435
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,15851305.0,ns,19664
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,16935535.0,ns,20893
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,17847299.0,ns,22122
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,18731052.0,ns,23351
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,19785215.0,ns,24580
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,20747881.0,ns,25809
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,21813667.0,ns,27038
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,22734720.0,ns,28267
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,23723257.0,ns,29496
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,24807618.0,ns,30725
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,25752293.0,ns,31954
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,26744256.0,ns,33183
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,27808243.0,ns,34412
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,28831475.0,ns,35641
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,29675229.0,ns,36870
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,30525670.0,ns,38099
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,31535986.0,ns,39328
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,32693401.0,ns,40557
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,33694088.0,ns,41786
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,34668438.0,ns,43015
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,36039101.0,ns,44244
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,36738025.0,ns,45473
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,37630010.0,ns,46702
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,38542238.0,ns,47931
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,39594612.0,ns,49160
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,40595047.0,ns,50389
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,41615134.0,ns,51618
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,42484060.0,ns,52847
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,43608771.0,ns,54076
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,44478877.0,ns,55305
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,45429261.0,ns,56534
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,46512581.0,ns,57763
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,47478832.0,ns,58992
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,48621286.0,ns,60221
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,49746280.0,ns,61450
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,50532053.0,ns,62679
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,51535846.0,ns,63908
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,52520570.0,ns,65137
encode/middle_bad/checked,yore 0.1.0,960,960,bytes,53532022.0,ns,66366
