group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,1032046.0,ns,5650
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,1971325.0,ns,11300
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,3006699.0,ns,16950
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,3981109.0,ns,22600
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,4994442.0,ns,28250
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,5942943.0,ns,33900
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,7283015.0,ns,39550
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,7997437.0,ns,45200
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,8989575.0,ns,50850
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,9988885.0,ns,56500
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,10940070.0,ns,62150
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,11892705.0,ns,67800
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,12846494.0,ns,73450
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,13829778.0,ns,79100
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,14856847.0,ns,84750
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,15804958.0,ns,90400
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,16826063.0,ns,96050
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,17825286.0,ns,101700
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,18811975.0,ns,107350
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,19791877.0,ns,113000
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,20757708.0,ns,118650
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,21724947.0,ns,124300
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,22737102.0,ns,129950
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,23760269.0,ns,135600
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,24710384.0,ns,141250
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,25752175.0,ns,146900
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,26789623.0,ns,152550
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,27652659.0,ns,158200
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,28635646.0,ns,163850
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,29761560.0,ns,169500
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,30786383.0,ns,175150
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,31617918.0,ns,180800
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,32591871.0,ns,186450
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,33581777.0,ns,192100
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,35230171.0,ns,197750
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,35788572.0,ns,203400
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,36569506.0,ns,209050
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,38319160.0,ns,214700
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,38522320.0,ns,220350
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,39547431.0,ns,226000
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,40538770.0,ns,231650
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,41560682.0,ns,237300
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,42517974.0,ns,242950
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,43488718.0,ns,248600
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,44503540.0,ns,254250
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,45426572.0,ns,259900
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,46442597.0,ns,265550
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,47421689.0,ns,271200
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,48796293.0,ns,276850
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,49904752.0,ns,282500
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,50376986.0,ns,288150
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,51426225.0,ns,293800
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,52469178.0,ns,299450
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,53298817.0,ns,305100
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,54613824.0,ns,310750
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,55401138.0,ns,316400
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,56348151.0,ns,322050
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,57380556.0,ns,327700
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,58311106.0,ns,333350
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,59337030.0,ns,339000
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,60979350.0,ns,344650
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,61476394.0,ns,350300
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,62301391.0,ns,355950
