group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,1147949.0,ns,5888
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,1977231.0,ns,11776
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,3097901.0,ns,17664
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,3955064.0,ns,23552
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,5146738.0,ns,29440
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,6036360.0,ns,35328
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,6919222.0,ns,41216
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,7984281.0,ns,47104
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,8906724.0,ns,52992
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,9928571.0,ns,58880
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,10863173.0,ns,64768
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,11864120.0,ns,70656
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,12841503.0,ns,76544
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,13871464.0,ns,82432
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,14843655.0,ns,88320
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,15806554.0,ns,94208
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,16791257.0,ns,100096
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,17792386.0,ns,105984
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,18789213.0,ns,111872
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,19779662.0,ns,117760
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,20765001.0,ns,123648
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,21771885.0,ns,129536
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,22736754.0,ns,135424
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,23802848.0,ns,141312
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,24860183.0,ns,147200
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,25758489.0,ns,153088
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,26689718.0,ns,158976
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,27669175.0,ns,164864
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,28661280.0,ns,170752
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,29661618.0,ns,176640
encode/middle_bad/lossy,oem_cp 1.1.0,60,60,bytes,30636174.0,ns,182528
