group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,1169006.0,ns,4381
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,1975825.0,ns,8762
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,3077666.0,ns,13143
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,3960106.0,ns,17524
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,5005970.0,ns,21905
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,6027312.0,ns,26286
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,6923393.0,ns,30667
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,7953511.0,ns,35048
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,8957709.0,ns,39429
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,9853191.0,ns,43810
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,10877807.0,ns,48191
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,11887711.0,ns,52572
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,12869846.0,ns,56953
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,13810279.0,ns,61334
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,14763791.0,ns,65715
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,15875034.0,ns,70096
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,16840170.0,ns,74477
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,17866089.0,ns,78858
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,18733292.0,ns,83239
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,19734057.0,ns,87620
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,20724103.0,ns,92001
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,21788740.0,ns,96382
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,22715866.0,ns,100763
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,23766615.0,ns,105144
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,24674719.0,ns,109525
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,25710488.0,ns,113906
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,26731784.0,ns,118287
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,27628746.0,ns,122668
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,28869335.0,ns,127049
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,29728985.0,ns,131430
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,30667129.0,ns,135811
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,31688521.0,ns,140192
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,32654077.0,ns,144573
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,33572855.0,ns,148954
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,34572452.0,ns,153335
encode/middle_bad/lossy,rust-encoding 0.2.33,120,120,bytes,35508729.0,ns,157716
