group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,1001721.0,ns,7758
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,1970860.0,ns,15516
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,2963773.0,ns,23274
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,3979567.0,ns,31032
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,5405667.0,ns,38790
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,5921059.0,ns,46548
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,7359932.0,ns,54306
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,8230023.0,ns,62064
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,8951044.0,ns,69822
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,9868142.0,ns,77580
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,10878105.0,ns,85338
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,11841168.0,ns,93096
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,12840067.0,ns,100854
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,13857482.0,ns,108612
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,14775092.0,ns,116370
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,15766630.0,ns,124128
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,16818567.0,ns,131886
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,17766038.0,ns,139644
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,18905990.0,ns,147402
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,19745747.0,ns,155160
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,20720120.0,ns,162918
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,21669625.0,ns,170676
encode/middle_bad/lossy,rust-encoding 0.2.33,60,60,bytes,22787956.0,ns,178434
