group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,1091972.0,ns,1645
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,1946549.0,ns,3290
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,3168141.0,ns,4935
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,4039553.0,ns,6580
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,5644780.0,ns,8225
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,6198532.0,ns,9870
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,6980879.0,ns,11515
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,7959023.0,ns,13160
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,8878742.0,ns,14805
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,9891347.0,ns,16450
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,10871147.0,ns,18095
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,11943477.0,ns,19740
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,12849218.0,ns,21385
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,13787278.0,ns,23030
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,14797016.0,ns,24675
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,15751195.0,ns,26320
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,16783630.0,ns,27965
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,17853647.0,ns,29610
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,18771865.0,ns,31255
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,19781681.0,ns,32900
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,20762027.0,ns,34545
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,21617380.0,ns,36190
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,22837213.0,ns,37835
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,23750203.0,ns,39480
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,24813809.0,ns,41125
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,25700815.0,ns,42770
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,26519226.0,ns,44415
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,27797641.0,ns,46060
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,28927752.0,ns,47705
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,29740054.0,ns,49350
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,30665957.0,ns,50995
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,31542200.0,ns,52640
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,32876231.0,ns,54285
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,33701055.0,ns,55930
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,34791465.0,ns,57575
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,35647648.0,ns,59220
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,36691531.0,ns,60865
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,37486758.0,ns,62510
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,38651933.0,ns,64155
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,39731797.0,ns,65800
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,40771570.0,ns,67445
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,41412162.0,ns,69090
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,42695861.0,ns,70735
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,43661467.0,ns,72380
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,44792320.0,ns,74025
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,45729473.0,ns,75670
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,46404442.0,ns,77315
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,47712542.0,ns,78960
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,48663100.0,ns,80605
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,49188487.0,ns,82250
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,50414193.0,ns,83895
encode/middle_bad/lossy,yore 0.1.0,480,480,bytes,51739490.0,ns,85540
