group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,988509.0,ns,13081
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,1988087.0,ns,26162
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,2980321.0,ns,39243
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,3981844.0,ns,52324
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,4976355.0,ns,65405
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,5967847.0,ns,78486
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,7305289.0,ns,91567
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,8055818.0,ns,104648
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,9084569.0,ns,117729
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,9918844.0,ns,130810
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,10880362.0,ns,143891
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,11943499.0,ns,156972
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,12745844.0,ns,170053
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,13791890.0,ns,183134
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,14860387.0,ns,196215
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,15852769.0,ns,209296
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,16909149.0,ns,222377
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,18052637.0,ns,235458
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,18755862.0,ns,248539
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,19764374.0,ns,261620
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,20714736.0,ns,274701
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,21766083.0,ns,287782
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,22851524.0,ns,300863
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,23724449.0,ns,313944
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,24801896.0,ns,327025
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,25716067.0,ns,340106
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,26675467.0,ns,353187
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,27832772.0,ns,366268
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,28735550.0,ns,379349
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,29699972.0,ns,392430
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,30685871.0,ns,405511
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,31759077.0,ns,418592
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,32745342.0,ns,431673
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,33681700.0,ns,444754
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,35057912.0,ns,457835
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,35697734.0,ns,470916
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,36709536.0,ns,483997
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,37776199.0,ns,497078
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,38623277.0,ns,510159
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,39634166.0,ns,523240
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,40331346.0,ns,536321
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,41339440.0,ns,549402
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,42659105.0,ns,562483
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,43384083.0,ns,575564
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,44358155.0,ns,588645
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,45312908.0,ns,601726
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,46494263.0,ns,614807
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,47535108.0,ns,627888
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,48671416.0,ns,640969
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,49774600.0,ns,654050
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,50508075.0,ns,667131
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,51258422.0,ns,680212
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,52130052.0,ns,693293
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,53488130.0,ns,706374
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,54534330.0,ns,719455
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,55590953.0,ns,732536
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,56377235.0,ns,745617
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,57400270.0,ns,758698
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,58407209.0,ns,771779
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,59348066.0,ns,784860
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,60795482.0,ns,797941
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,61562994.0,ns,811022
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,62388224.0,ns,824103
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,63243812.0,ns,837184
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,64405203.0,ns,850265
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,65423897.0,ns,863346
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,66324123.0,ns,876427
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,67245670.0,ns,889508
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,68258665.0,ns,902589
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,69835287.0,ns,915670
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,70428030.0,ns,928751
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,71208403.0,ns,941832
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,72109142.0,ns,954913
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,73347165.0,ns,967994
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,74352494.0,ns,981075
encode/middle_bad/lossy,yore 0.1.0,60,60,bytes,75063995.0,ns,994156
