group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,762125.0,ns,28203
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,1518702.0,ns,56406
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,2298546.0,ns,84609
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,2986250.0,ns,112812
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,3994403.0,ns,141015
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,4535350.0,ns,169218
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,5329860.0,ns,197421
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,6156396.0,ns,225624
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,6966015.0,ns,253827
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,7967428.0,ns,282030
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,8262761.0,ns,310233
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,8999631.0,ns,338436
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,9884059.0,ns,366639
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,10590677.0,ns,394842
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,11303763.0,ns,423045
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,12243360.0,ns,451248
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,12785665.0,ns,479451
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,14001410.0,ns,507654
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,14509354.0,ns,535857
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,15479078.0,ns,564060
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,15917619.0,ns,592263
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,16620020.0,ns,620466
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,17485467.0,ns,648669
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,18149273.0,ns,676872
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,18891653.0,ns,705075
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,19657102.0,ns,733278
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,19836710.0,ns,761481
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,20940866.0,ns,789684
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,21478682.0,ns,817887
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,22446385.0,ns,846090
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,23189498.0,ns,874293
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,24098176.0,ns,902496
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,24825266.0,ns,930699
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,25646336.0,ns,958902
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,26317396.0,ns,987105
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,26880939.0,ns,1015308
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,27491841.0,ns,1043511
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,28815325.0,ns,1071714
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,29044103.0,ns,1099917
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,31064906.0,ns,1128120
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,31020103.0,ns,1156323
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,31995543.0,ns,1184526
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,32550703.0,ns,1212729
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,33770742.0,ns,1240932
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,33475041.0,ns,1269135
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,34332568.0,ns,1297338
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,35018377.0,ns,1325541
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,35962135.0,ns,1353744
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,36517387.0,ns,1381947
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,36849555.0,ns,1410150
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,37763485.0,ns,1438353
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,38650856.0,ns,1466556
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,39639807.0,ns,1494759
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,40468974.0,ns,1522962
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,40849329.0,ns,1551165
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,42673301.0,ns,1579368
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,42192431.0,ns,1607571
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,42811553.0,ns,1635774
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,44415892.0,ns,1663977
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,44751001.0,ns,1692180
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,45163821.0,ns,1720383
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,46336097.0,ns,1748586
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,47910649.0,ns,1776789
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,48850130.0,ns,1804992
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,48407437.0,ns,1833195
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,49260590.0,ns,1861398
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,51296586.0,ns,1889601
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,50705746.0,ns,1917804
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,52691904.0,ns,1946007
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,52470562.0,ns,1974210
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,54015281.0,ns,2002413
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,54138896.0,ns,2030616
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,53926037.0,ns,2058819
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,55953991.0,ns,2087022
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,56560520.0,ns,2115225
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,56322065.0,ns,2143428
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,57522897.0,ns,2171631
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,59153963.0,ns,2199834
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,60135169.0,ns,2228037
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,60052040.0,ns,2256240
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,61308081.0,ns,2284443
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,61785206.0,ns,2312646
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,62864402.0,ns,2340849
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,63372332.0,ns,2369052
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,63559386.0,ns,2397255
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,64417048.0,ns,2425458
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,65694842.0,ns,2453661
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,66676551.0,ns,2481864
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,67488811.0,ns,2510067
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,68710844.0,ns,2538270
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,69645128.0,ns,2566473
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,70216442.0,ns,2594676
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,71288641.0,ns,2622879
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,70311588.0,ns,2651082
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,71450366.0,ns,2679285
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,73140189.0,ns,2707488
decode_checked/ascii,encoding_rs* 0.8.28,1024,1024,bytes,72664938.0,ns,2735691
