group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,603664.0,ns,41969
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,1148561.0,ns,83938
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,1770613.0,ns,125907
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,2516430.0,ns,167876
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,3192502.0,ns,209845
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,3447881.0,ns,251814
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,4102925.0,ns,293783
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,4595091.0,ns,335752
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,5733767.0,ns,377721
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,5941107.0,ns,419690
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,6929764.0,ns,461659
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,6893707.0,ns,503628
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,7542376.0,ns,545597
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,8573893.0,ns,587566
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,8615492.0,ns,629535
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,9284054.0,ns,671504
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,10505139.0,ns,713473
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,10405577.0,ns,755442
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,11385598.0,ns,797411
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,12299950.0,ns,839380
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,12392918.0,ns,881349
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,12846181.0,ns,923318
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,13934058.0,ns,965287
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,14388010.0,ns,1007256
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,15045873.0,ns,1049225
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,15568938.0,ns,1091194
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,16389087.0,ns,1133163
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,16242414.0,ns,1175132
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,17433108.0,ns,1217101
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,17616852.0,ns,1259070
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,18047096.0,ns,1301039
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,18840980.0,ns,1343008
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,19815847.0,ns,1384977
decode_checked/ascii,encoding_rs* 0.8.28,512,512,bytes,20234227.0,ns,1426946
