group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,978474.0,ns,600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,1899997.0,ns,1200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,2943279.0,ns,1800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,3847733.0,ns,2400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,4767928.0,ns,3000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,5736202.0,ns,3600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,7134423.0,ns,4200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,7921311.0,ns,4800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,8945024.0,ns,5400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,9561150.0,ns,6000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,10711409.0,ns,6600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,11487730.0,ns,7200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,12450928.0,ns,7800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,13626478.0,ns,8400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,14408334.0,ns,9000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,15523516.0,ns,9600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,16297221.0,ns,10200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,17710546.0,ns,10800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,18213682.0,ns,11400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,19373849.0,ns,12000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,20939449.0,ns,12600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,21120602.0,ns,13200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,22256662.0,ns,13800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,23239068.0,ns,14400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,23975089.0,ns,15000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,25089596.0,ns,15600
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,26627513.0,ns,16200
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,27070357.0,ns,16800
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,28108135.0,ns,17400
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,28872754.0,ns,18000
decode_checked/ascii,oem_cp 1.1.0,1024,1024,bytes,29843960.0,ns,18600
