group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/ascii,yore 0.3.0,64,64,bytes,397604.0,ns,52197
decode_checked/ascii,yore 0.3.0,64,64,bytes,787402.0,ns,104394
decode_checked/ascii,yore 0.3.0,64,64,bytes,1182633.0,ns,156591
decode_checked/ascii,yore 0.3.0,64,64,bytes,1577559.0,ns,208788
decode_checked/ascii,yore 0.3.0,64,64,bytes,1945956.0,ns,260985
decode_checked/ascii,yore 0.3.0,64,64,bytes,2346908.0,ns,313182
decode_checked/ascii,yore 0.3.0,64,64,bytes,2700940.0,ns,365379
decode_checked/ascii,yore 0.3.0,64,64,bytes,3098937.0,ns,417576
decode_checked/ascii,yore 0.3.0,64,64,bytes,3473557.0,ns,469773
decode_checked/ascii,yore 0.3.0,64,64,bytes,3858413.0,ns,521970
decode_checked/ascii,yore 0.3.0,64,64,bytes,4574630.0,ns,574167
decode_checked/ascii,yore 0.3.0,64,64,bytes,4708749.0,ns,626364
decode_checked/ascii,yore 0.3.0,64,64,bytes,5053904.0,ns,678561
decode_checked/ascii,yore 0.3.0,64,64,bytes,5430471.0,ns,730758
decode_checked/ascii,yore 0.3.0,64,64,bytes,5785062.0,ns,782955
decode_checked/ascii,yore 0.3.0,64,64,bytes,6170605.0,ns,835152
decode_checked/ascii,yore 0.3.0,64,64,bytes,6773138.0,ns,887349
decode_checked/ascii,yore 0.3.0,64,64,bytes,6942927.0,ns,939546
decode_checked/ascii,yore 0.3.0,64,64,bytes,7328376.0,ns,991743
decode_checked/ascii,yore 0.3.0,64,64,bytes,7711589.0,ns,1043940
decode_checked/ascii,yore 0.3.0,64,64,bytes,8382023.0,ns,1096137
decode_checked/ascii,yore 0.3.0,64,64,bytes,8485584.0,ns,1148334
decode_checked/ascii,yore 0.3.0,64,64,bytes,8874092.0,ns,1200531
decode_checked/ascii,yore 0.3.0,64,64,bytes,9426163.0,ns,1252728
decode_checked/ascii,yore 0.3.0,64,64,bytes,9978672.0,ns,1304925
decode_checked/ascii,yore 0.3.0,64,64,bytes,10070973.0,ns,1357122
decode_checked/ascii,yore 0.3.0,64,64,bytes,10604618.0,ns,1409319
decode_checked/ascii,yore 0.3.0,64,64,bytes,10823565.0,ns,1461516
decode_checked/ascii,yore 0.3.0,64,64,bytes,11207287.0,ns,1513713
decode_checked/ascii,yore 0.3.0,64,64,bytes,11829935.0,ns,1565910
decode_checked/ascii,yore 0.3.0,64,64,bytes,11988222.0,ns,1618107
decode_checked/ascii,yore 0.3.0,64,64,bytes,12470415.0,ns,1670304
