group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/ascii,yore 0.3.0,8,8,bytes,375839.0,ns,55828
decode_checked/ascii,yore 0.3.0,8,8,bytes,700244.0,ns,111656
decode_checked/ascii,yore 0.3.0,8,8,bytes,1053811.0,ns,167484
decode_checked/ascii,yore 0.3.0,8,8,bytes,1406948.0,ns,223312
decode_checked/ascii,yore 0.3.0,8,8,bytes,1760994.0,ns,279140
decode_checked/ascii,yore 0.3.0,8,8,bytes,2111563.0,ns,334968
decode_checked/ascii,yore 0.3.0,8,8,bytes,2466381.0,ns,390796
decode_checked/ascii,yore 0.3.0,8,8,bytes,2817812.0,ns,446624
decode_checked/ascii,yore 0.3.0,8,8,bytes,3318696.0,ns,502452
decode_checked/ascii,yore 0.3.0,8,8,bytes,3518966.0,ns,558280
decode_checked/ascii,yore 0.3.0,8,8,bytes,4007774.0,ns,614108
decode_checked/ascii,yore 0.3.0,8,8,bytes,4474346.0,ns,669936
decode_checked/ascii,yore 0.3.0,8,8,bytes,4600794.0,ns,725764
decode_checked/ascii,yore 0.3.0,8,8,bytes,4988811.0,ns,781592
decode_checked/ascii,yore 0.3.0,8,8,bytes,5338321.0,ns,837420
decode_checked/ascii,yore 0.3.0,8,8,bytes,5827478.0,ns,893248
decode_checked/ascii,yore 0.3.0,8,8,bytes,6011739.0,ns,949076
decode_checked/ascii,yore 0.3.0,8,8,bytes,6366791.0,ns,1004904
decode_checked/ascii,yore 0.3.0,8,8,bytes,6720625.0,ns,1060732
decode_checked/ascii,yore 0.3.0,8,8,bytes,7213547.0,ns,1116560
decode_checked/ascii,yore 0.3.0,8,8,bytes,7408411.0,ns,1172388
decode_checked/ascii,yore 0.3.0,8,8,bytes,7755231.0,ns,1228216
decode_checked/ascii,yore 0.3.0,8,8,bytes,8106179.0,ns,1284044
decode_checked/ascii,yore 0.3.0,8,8,bytes,8628362.0,ns,1339872
decode_checked/ascii,yore 0.3.0,8,8,bytes,8816261.0,ns,1395700
decode_checked/ascii,yore 0.3.0,8,8,bytes,9168886.0,ns,1451528
decode_checked/ascii,yore 0.3.0,8,8,bytes,9590297.0,ns,1507356
decode_checked/ascii,yore 0.3.0,8,8,bytes,9925762.0,ns,1563184
decode_checked/ascii,yore 0.3.0,8,8,bytes,10245539.0,ns,1619012
decode_checked/ascii,yore 0.3.0,8,8,bytes,10667754.0,ns,1674840
decode_checked/ascii,yore 0.3.0,8,8,bytes,10974805.0,ns,1730668
decode_checked/ascii,yore 0.3.0,8,8,bytes,11382984.0,ns,1786496
decode_checked/ascii,yore 0.3.0,8,8,bytes,11740172.0,ns,1842324
decode_checked/ascii,yore 0.3.0,8,8,bytes,12077095.0,ns,1898152
decode_checked/ascii,yore 0.3.0,8,8,bytes,12585476.0,ns,1953980
decode_checked/ascii,yore 0.3.0,8,8,bytes,12780751.0,ns,2009808
decode_checked/ascii,yore 0.3.0,8,8,bytes,13425902.0,ns,2065636
decode_checked/ascii,yore 0.3.0,8,8,bytes,13471595.0,ns,2121464
decode_checked/ascii,yore 0.3.0,8,8,bytes,14008950.0,ns,2177292
decode_checked/ascii,yore 0.3.0,8,8,bytes,14527335.0,ns,2233120
decode_checked/ascii,yore 0.3.0,8,8,bytes,14915934.0,ns,2288948
decode_checked/ascii,yore 0.3.0,8,8,bytes,15113785.0,ns,2344776
decode_checked/ascii,yore 0.3.0,8,8,bytes,15256076.0,ns,2400604
decode_checked/ascii,yore 0.3.0,8,8,bytes,15960772.0,ns,2456432
decode_checked/ascii,yore 0.3.0,8,8,bytes,16059789.0,ns,2512260
decode_checked/ascii,yore 0.3.0,8,8,bytes,16641455.0,ns,2568088
decode_checked/ascii,yore 0.3.0,8,8,bytes,16911735.0,ns,2623916
decode_checked/ascii,yore 0.3.0,8,8,bytes,17099585.0,ns,2679744
decode_checked/ascii,yore 0.3.0,8,8,bytes,17423040.0,ns,2735572
decode_checked/ascii,yore 0.3.0,8,8,bytes,17926504.0,ns,2791400
decode_checked/ascii,yore 0.3.0,8,8,bytes,18109196.0,ns,2847228
decode_checked/ascii,yore 0.3.0,8,8,bytes,18558510.0,ns,2903056
decode_checked/ascii,yore 0.3.0,8,8,bytes,18871129.0,ns,2958884
decode_checked/ascii,yore 0.3.0,8,8,bytes,19480195.0,ns,3014712
decode_checked/ascii,yore 0.3.0,8,8,bytes,19603669.0,ns,3070540
decode_checked/ascii,yore 0.3.0,8,8,bytes,20153077.0,ns,3126368
decode_checked/ascii,yore 0.3.0,8,8,bytes,20328572.0,ns,3182196
decode_checked/ascii,yore 0.3.0,8,8,bytes,20873091.0,ns,3238024
decode_checked/ascii,yore 0.3.0,8,8,bytes,20964608.0,ns,3293852
decode_checked/ascii,yore 0.3.0,8,8,bytes,21519773.0,ns,3349680
decode_checked/ascii,yore 0.3.0,8,8,bytes,21871262.0,ns,3405508
decode_checked/ascii,yore 0.3.0,8,8,bytes,22144184.0,ns,3461336
decode_checked/ascii,yore 0.3.0,8,8,bytes,22593446.0,ns,3517164
decode_checked/ascii,yore 0.3.0,8,8,bytes,23007229.0,ns,3572992
decode_checked/ascii,yore 0.3.0,8,8,bytes,23848847.0,ns,3628820
decode_checked/ascii,yore 0.3.0,8,8,bytes,23811429.0,ns,3684648
decode_checked/ascii,yore 0.3.0,8,8,bytes,24111638.0,ns,3740476
decode_checked/ascii,yore 0.3.0,8,8,bytes,24348726.0,ns,3796304
decode_checked/ascii,yore 0.3.0,8,8,bytes,24617036.0,ns,3852132
decode_checked/ascii,yore 0.3.0,8,8,bytes,25117380.0,ns,3907960
decode_checked/ascii,yore 0.3.0,8,8,bytes,25503881.0,ns,3963788
decode_checked/ascii,yore 0.3.0,8,8,bytes,25886759.0,ns,4019616
decode_checked/ascii,yore 0.3.0,8,8,bytes,26258699.0,ns,4075444
decode_checked/ascii,yore 0.3.0,8,8,bytes,26709328.0,ns,4131272
decode_checked/ascii,yore 0.3.0,8,8,bytes,26985524.0,ns,4187100
decode_checked/ascii,yore 0.3.0,8,8,bytes,27238395.0,ns,4242928
decode_checked/ascii,yore 0.3.0,8,8,bytes,27593616.0,ns,4298756
decode_checked/ascii,yore 0.3.0,8,8,bytes,28104927.0,ns,4354584
decode_checked/ascii,yore 0.3.0,8,8,bytes,28480737.0,ns,4410412
decode_checked/ascii,yore 0.3.0,8,8,bytes,28756521.0,ns,4466240
decode_checked/ascii,yore 0.3.0,8,8,bytes,29104710.0,ns,4522068
