group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,955689.0,ns,503
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,1854383.0,ns,1006
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,2797172.0,ns,1509
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,3803583.0,ns,2012
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,4769966.0,ns,2515
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,5418688.0,ns,3018
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,6557322.0,ns,3521
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,7556936.0,ns,4024
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,8373913.0,ns,4527
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,9230853.0,ns,5030
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,9996201.0,ns,5533
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,11177075.0,ns,6036
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,12342613.0,ns,6539
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,12848846.0,ns,7042
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,13814012.0,ns,7545
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,14604168.0,ns,8048
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,15954177.0,ns,8551
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,16514820.0,ns,9054
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,17527934.0,ns,9557
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,18187007.0,ns,10060
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,19181119.0,ns,10563
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,20148101.0,ns,11066
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,20894461.0,ns,11569
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,21943796.0,ns,12072
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,23117179.0,ns,12575
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,23745761.0,ns,13078
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,24815207.0,ns,13581
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,26153889.0,ns,14084
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,26387951.0,ns,14587
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,27375760.0,ns,15090
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,28488564.0,ns,15593
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,29074924.0,ns,16096
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,30620299.0,ns,16599
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,31192934.0,ns,17102
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,32322607.0,ns,17605
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,33614871.0,ns,18108
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,34237785.0,ns,18611
decode_checked/extended,encoding_rs* 0.8.28,512,512,bytes,34656228.0,ns,19114
