group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,859767.0,ns,3291
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,1680740.0,ns,6582
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,2475234.0,ns,9873
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,3376823.0,ns,13164
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,4150599.0,ns,16455
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,4946109.0,ns,19746
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,5782069.0,ns,23037
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,7372337.0,ns,26328
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,7463080.0,ns,29619
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,8255355.0,ns,32910
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,9213569.0,ns,36201
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,10056832.0,ns,39492
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,10748385.0,ns,42783
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,11675358.0,ns,46074
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,12351336.0,ns,49365
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,13187723.0,ns,52656
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,14180952.0,ns,55947
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,15000872.0,ns,59238
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,15836718.0,ns,62529
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,16549127.0,ns,65820
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,17542530.0,ns,69111
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,18225307.0,ns,72402
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,18996931.0,ns,75693
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,19885095.0,ns,78984
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,20659664.0,ns,82275
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,21641984.0,ns,85566
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,23017860.0,ns,88857
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,23278934.0,ns,92148
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,23936827.0,ns,95439
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,25144909.0,ns,98730
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,25727893.0,ns,102021
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,26452909.0,ns,105312
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,27439353.0,ns,108603
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,28213964.0,ns,111894
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,28938209.0,ns,115185
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,29991048.0,ns,118476
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,30681908.0,ns,121767
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,32126739.0,ns,125058
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,32702551.0,ns,128349
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,33168922.0,ns,131640
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,34197031.0,ns,134931
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,35013441.0,ns,138222
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,35561176.0,ns,141513
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,36305683.0,ns,144804
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,37303035.0,ns,148095
decode_checked/extended,encoding_rs* 0.8.28,64,64,bytes,38292624.0,ns,151386
