group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,995065.0,ns,43
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,1947512.0,ns,86
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,2947856.0,ns,129
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,3943792.0,ns,172
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,5127970.0,ns,215
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,6072962.0,ns,258
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,7318670.0,ns,301
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,8012499.0,ns,344
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,8813037.0,ns,387
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,9755776.0,ns,430
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,11069334.0,ns,473
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,11837350.0,ns,516
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,12689804.0,ns,559
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,13663959.0,ns,602
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,14838295.0,ns,645
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,15810594.0,ns,688
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,16782687.0,ns,731
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,18422222.0,ns,774
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,18588694.0,ns,817
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,19788149.0,ns,860
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,20395584.0,ns,903
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,21968947.0,ns,946
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,22855242.0,ns,989
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,23805117.0,ns,1032
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,24777096.0,ns,1075
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,25717944.0,ns,1118
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,26625677.0,ns,1161
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,27612875.0,ns,1204
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,28208353.0,ns,1247
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,29776159.0,ns,1290
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,30842711.0,ns,1333
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,31784589.0,ns,1376
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,32664968.0,ns,1419
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,33610450.0,ns,1462
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,34288314.0,ns,1505
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,35484013.0,ns,1548
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,36484634.0,ns,1591
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,37652749.0,ns,1634
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,38294191.0,ns,1677
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,39597295.0,ns,1720
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,41245250.0,ns,1763
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,41379870.0,ns,1806
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,42902079.0,ns,1849
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,43348908.0,ns,1892
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,44394393.0,ns,1935
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,45174449.0,ns,1978
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,46019788.0,ns,2021
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,46897564.0,ns,2064
decode_checked/extended,oem_cp 1.1.0,4096,4096,bytes,48604149.0,ns,2107
