group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,974094.0,ns,323
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,1920313.0,ns,646
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,2876840.0,ns,969
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,4162845.0,ns,1292
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,4795697.0,ns,1615
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,6303829.0,ns,1938
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,7345912.0,ns,2261
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,7976042.0,ns,2584
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,8714756.0,ns,2907
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,9887251.0,ns,3230
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,10650643.0,ns,3553
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,11301685.0,ns,3876
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,13177580.0,ns,4199
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,14975313.0,ns,4522
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,14903131.0,ns,4845
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,15303198.0,ns,5168
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,16335941.0,ns,5491
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,17350629.0,ns,5814
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,18384437.0,ns,6137
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,22210728.0,ns,6460
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,20291559.0,ns,6783
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,21048398.0,ns,7106
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,21740171.0,ns,7429
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,22966657.0,ns,7752
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,24069268.0,ns,8075
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,24610764.0,ns,8398
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,25925917.0,ns,8721
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,27202828.0,ns,9044
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,29691380.0,ns,9367
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,29610307.0,ns,9690
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,35450614.0,ns,10013
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,32265589.0,ns,10336
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,31936530.0,ns,10659
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,32882957.0,ns,10982
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,33666883.0,ns,11305
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,35596145.0,ns,11628
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,35005746.0,ns,11951
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,36538183.0,ns,12274
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,37412403.0,ns,12597
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,38988931.0,ns,12920
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,44476450.0,ns,13243
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,42672411.0,ns,13566
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,41358592.0,ns,13889
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,42366791.0,ns,14212
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,43717608.0,ns,14535
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,44517508.0,ns,14858
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,45468179.0,ns,15181
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,45727713.0,ns,15504
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,46903406.0,ns,15827
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,49011589.0,ns,16150
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,48467382.0,ns,16473
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,50878403.0,ns,16796
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,51488655.0,ns,17119
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,52311027.0,ns,17442
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,56576085.0,ns,17765
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,54217983.0,ns,18088
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,54700315.0,ns,18411
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,56032059.0,ns,18734
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,57595427.0,ns,19057
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,58962756.0,ns,19380
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,59410786.0,ns,19703
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,65651350.0,ns,20026
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,60979436.0,ns,20349
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,60527568.0,ns,20672
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,62018935.0,ns,20995
decode_checked/extended,oem_cp 1.1.0,512,512,bytes,63323976.0,ns,21318
