group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,yore 0.3.0,256,256,bytes,491791.0,ns,2450
decode_checked/extended,yore 0.3.0,256,256,bytes,947895.0,ns,4900
decode_checked/extended,yore 0.3.0,256,256,bytes,1460875.0,ns,7350
decode_checked/extended,yore 0.3.0,256,256,bytes,1900685.0,ns,9800
decode_checked/extended,yore 0.3.0,256,256,bytes,2407620.0,ns,12250
decode_checked/extended,yore 0.3.0,256,256,bytes,3033377.0,ns,14700
decode_checked/extended,yore 0.3.0,256,256,bytes,3367926.0,ns,17150
decode_checked/extended,yore 0.3.0,256,256,bytes,3857713.0,ns,19600
decode_checked/extended,yore 0.3.0,256,256,bytes,4340021.0,ns,22050
decode_checked/extended,yore 0.3.0,256,256,bytes,5057168.0,ns,24500
decode_checked/extended,yore 0.3.0,256,256,bytes,5356640.0,ns,26950
decode_checked/extended,yore 0.3.0,256,256,bytes,5875286.0,ns,29400
decode_checked/extended,yore 0.3.0,256,256,bytes,6151351.0,ns,31850
decode_checked/extended,yore 0.3.0,256,256,bytes,6789612.0,ns,34300
decode_checked/extended,yore 0.3.0,256,256,bytes,7143223.0,ns,36750
decode_checked/extended,yore 0.3.0,256,256,bytes,7592707.0,ns,39200
decode_checked/extended,yore 0.3.0,256,256,bytes,8308403.0,ns,41650
decode_checked/extended,yore 0.3.0,256,256,bytes,8554748.0,ns,44100
decode_checked/extended,yore 0.3.0,256,256,bytes,9046677.0,ns,46550
decode_checked/extended,yore 0.3.0,256,256,bytes,9667433.0,ns,49000
decode_checked/extended,yore 0.3.0,256,256,bytes,10238292.0,ns,51450
decode_checked/extended,yore 0.3.0,256,256,bytes,10504921.0,ns,53900
decode_checked/extended,yore 0.3.0,256,256,bytes,11177158.0,ns,56350
decode_checked/extended,yore 0.3.0,256,256,bytes,11483855.0,ns,58800
decode_checked/extended,yore 0.3.0,256,256,bytes,12158852.0,ns,61250
decode_checked/extended,yore 0.3.0,256,256,bytes,12399905.0,ns,63700
decode_checked/extended,yore 0.3.0,256,256,bytes,12897122.0,ns,66150
decode_checked/extended,yore 0.3.0,256,256,bytes,13499895.0,ns,68600
decode_checked/extended,yore 0.3.0,256,256,bytes,14325699.0,ns,71050
decode_checked/extended,yore 0.3.0,256,256,bytes,14542188.0,ns,73500
decode_checked/extended,yore 0.3.0,256,256,bytes,15753996.0,ns,75950
decode_checked/extended,yore 0.3.0,256,256,bytes,15696027.0,ns,78400
decode_checked/extended,yore 0.3.0,256,256,bytes,16033069.0,ns,80850
decode_checked/extended,yore 0.3.0,256,256,bytes,16338257.0,ns,83300
decode_checked/extended,yore 0.3.0,256,256,bytes,16848098.0,ns,85750
decode_checked/extended,yore 0.3.0,256,256,bytes,17197459.0,ns,88200
decode_checked/extended,yore 0.3.0,256,256,bytes,17867066.0,ns,90650
decode_checked/extended,yore 0.3.0,256,256,bytes,18684566.0,ns,93100
decode_checked/extended,yore 0.3.0,256,256,bytes,18878964.0,ns,95550
decode_checked/extended,yore 0.3.0,256,256,bytes,19354463.0,ns,98000
decode_checked/extended,yore 0.3.0,256,256,bytes,19724900.0,ns,100450
decode_checked/extended,yore 0.3.0,256,256,bytes,20111326.0,ns,102900
decode_checked/extended,yore 0.3.0,256,256,bytes,20898399.0,ns,105350
decode_checked/extended,yore 0.3.0,256,256,bytes,21583967.0,ns,107800
decode_checked/extended,yore 0.3.0,256,256,bytes,21898413.0,ns,110250
decode_checked/extended,yore 0.3.0,256,256,bytes,21986981.0,ns,112700
decode_checked/extended,yore 0.3.0,256,256,bytes,22811083.0,ns,115150
decode_checked/extended,yore 0.3.0,256,256,bytes,23480679.0,ns,117600
decode_checked/extended,yore 0.3.0,256,256,bytes,23550979.0,ns,120050
decode_checked/extended,yore 0.3.0,256,256,bytes,23961841.0,ns,122500
decode_checked/extended,yore 0.3.0,256,256,bytes,24657811.0,ns,124950
decode_checked/extended,yore 0.3.0,256,256,bytes,25208111.0,ns,127400
decode_checked/extended,yore 0.3.0,256,256,bytes,25700612.0,ns,129850
decode_checked/extended,yore 0.3.0,256,256,bytes,26228354.0,ns,132300
decode_checked/extended,yore 0.3.0,256,256,bytes,26832235.0,ns,134750
decode_checked/extended,yore 0.3.0,256,256,bytes,27080944.0,ns,137200
decode_checked/extended,yore 0.3.0,256,256,bytes,27644010.0,ns,139650
decode_checked/extended,yore 0.3.0,256,256,bytes,28087171.0,ns,142100
decode_checked/extended,yore 0.3.0,256,256,bytes,28820653.0,ns,144550
decode_checked/extended,yore 0.3.0,256,256,bytes,28936491.0,ns,147000
decode_checked/extended,yore 0.3.0,256,256,bytes,30087318.0,ns,149450
decode_checked/extended,yore 0.3.0,256,256,bytes,30224314.0,ns,151900
decode_checked/extended,yore 0.3.0,256,256,bytes,30902130.0,ns,154350
decode_checked/extended,yore 0.3.0,256,256,bytes,31088109.0,ns,156800
decode_checked/extended,yore 0.3.0,256,256,bytes,31612883.0,ns,159250
decode_checked/extended,yore 0.3.0,256,256,bytes,32193741.0,ns,161700
decode_checked/extended,yore 0.3.0,256,256,bytes,32522702.0,ns,164150
decode_checked/extended,yore 0.3.0,256,256,bytes,33134001.0,ns,166600
decode_checked/extended,yore 0.3.0,256,256,bytes,33784179.0,ns,169050
decode_checked/extended,yore 0.3.0,256,256,bytes,34222472.0,ns,171500
decode_checked/extended,yore 0.3.0,256,256,bytes,35097012.0,ns,173950
decode_checked/extended,yore 0.3.0,256,256,bytes,35020869.0,ns,176400
decode_checked/extended,yore 0.3.0,256,256,bytes,36004655.0,ns,178850
decode_checked/extended,yore 0.3.0,256,256,bytes,35941087.0,ns,181300
decode_checked/extended,yore 0.3.0,256,256,bytes,36932805.0,ns,183750
decode_checked/extended,yore 0.3.0,256,256,bytes,37523482.0,ns,186200
decode_checked/extended,yore 0.3.0,256,256,bytes,37614552.0,ns,188650
decode_checked/extended,yore 0.3.0,256,256,bytes,38332059.0,ns,191100
decode_checked/extended,yore 0.3.0,256,256,bytes,38851525.0,ns,193550
decode_checked/extended,yore 0.3.0,256,256,bytes,39573935.0,ns,196000
decode_checked/extended,yore 0.3.0,256,256,bytes,39959408.0,ns,198450
decode_checked/extended,yore 0.3.0,256,256,bytes,40179141.0,ns,200900
decode_checked/extended,yore 0.3.0,256,256,bytes,40765219.0,ns,203350
decode_checked/extended,yore 0.3.0,256,256,bytes,41629016.0,ns,205800
decode_checked/extended,yore 0.3.0,256,256,bytes,41798032.0,ns,208250
decode_checked/extended,yore 0.3.0,256,256,bytes,42578822.0,ns,210700
decode_checked/extended,yore 0.3.0,256,256,bytes,43028992.0,ns,213150
decode_checked/extended,yore 0.3.0,256,256,bytes,43422197.0,ns,215600
decode_checked/extended,yore 0.3.0,256,256,bytes,44160312.0,ns,218050
decode_checked/extended,yore 0.3.0,256,256,bytes,44480709.0,ns,220500
decode_checked/extended,yore 0.3.0,256,256,bytes,45152535.0,ns,222950
decode_checked/extended,yore 0.3.0,256,256,bytes,45780012.0,ns,225400
decode_checked/extended,yore 0.3.0,256,256,bytes,45746395.0,ns,227850
decode_checked/extended,yore 0.3.0,256,256,bytes,46967642.0,ns,230300
decode_checked/extended,yore 0.3.0,256,256,bytes,47069377.0,ns,232750
decode_checked/extended,yore 0.3.0,256,256,bytes,47648002.0,ns,235200
decode_checked/extended,yore 0.3.0,256,256,bytes,47785762.0,ns,237650
decode_checked/extended,yore 0.3.0,256,256,bytes,48859245.0,ns,240100
decode_checked/extended,yore 0.3.0,256,256,bytes,49002178.0,ns,242550
decode_checked/extended,yore 0.3.0,256,256,bytes,49905280.0,ns,245000
