group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/extended,yore 0.3.0,512,512,bytes,617844.0,ns,1479
decode_checked/extended,yore 0.3.0,512,512,bytes,1206495.0,ns,2958
decode_checked/extended,yore 0.3.0,512,512,bytes,1582847.0,ns,4437
decode_checked/extended,yore 0.3.0,512,512,bytes,2115031.0,ns,5916
decode_checked/extended,yore 0.3.0,512,512,bytes,3021576.0,ns,7395
decode_checked/extended,yore 0.3.0,512,512,bytes,3623579.0,ns,8874
decode_checked/extended,yore 0.3.0,512,512,bytes,3860364.0,ns,10353
decode_checked/extended,yore 0.3.0,512,512,bytes,4832666.0,ns,11832
decode_checked/extended,yore 0.3.0,512,512,bytes,4855386.0,ns,13311
decode_checked/extended,yore 0.3.0,512,512,bytes,6123396.0,ns,14790
decode_checked/extended,yore 0.3.0,512,512,bytes,6452623.0,ns,16269
decode_checked/extended,yore 0.3.0,512,512,bytes,6568824.0,ns,17748
decode_checked/extended,yore 0.3.0,512,512,bytes,7050183.0,ns,19227
decode_checked/extended,yore 0.3.0,512,512,bytes,7521163.0,ns,20706
decode_checked/extended,yore 0.3.0,512,512,bytes,9053544.0,ns,22185
decode_checked/extended,yore 0.3.0,512,512,bytes,8461967.0,ns,23664
decode_checked/extended,yore 0.3.0,512,512,bytes,10484071.0,ns,25143
decode_checked/extended,yore 0.3.0,512,512,bytes,9550246.0,ns,26622
decode_checked/extended,yore 0.3.0,512,512,bytes,10065004.0,ns,28101
decode_checked/extended,yore 0.3.0,512,512,bytes,12323043.0,ns,29580
decode_checked/extended,yore 0.3.0,512,512,bytes,12690418.0,ns,31059
decode_checked/extended,yore 0.3.0,512,512,bytes,14051152.0,ns,32538
decode_checked/extended,yore 0.3.0,512,512,bytes,13888438.0,ns,34017
decode_checked/extended,yore 0.3.0,512,512,bytes,12804411.0,ns,35496
decode_checked/extended,yore 0.3.0,512,512,bytes,15157939.0,ns,36975
decode_checked/extended,yore 0.3.0,512,512,bytes,13951674.0,ns,38454
decode_checked/extended,yore 0.3.0,512,512,bytes,15251700.0,ns,39933
decode_checked/extended,yore 0.3.0,512,512,bytes,17012365.0,ns,41412
decode_checked/extended,yore 0.3.0,512,512,bytes,17782296.0,ns,42891
decode_checked/extended,yore 0.3.0,512,512,bytes,16082350.0,ns,44370
decode_checked/extended,yore 0.3.0,512,512,bytes,16495616.0,ns,45849
decode_checked/extended,yore 0.3.0,512,512,bytes,17295613.0,ns,47328
decode_checked/extended,yore 0.3.0,512,512,bytes,17474832.0,ns,48807
decode_checked/extended,yore 0.3.0,512,512,bytes,18362364.0,ns,50286
decode_checked/extended,yore 0.3.0,512,512,bytes,18676646.0,ns,51765
decode_checked/extended,yore 0.3.0,512,512,bytes,22126365.0,ns,53244
decode_checked/extended,yore 0.3.0,512,512,bytes,20477765.0,ns,54723
decode_checked/extended,yore 0.3.0,512,512,bytes,20334717.0,ns,56202
decode_checked/extended,yore 0.3.0,512,512,bytes,23882072.0,ns,57681
decode_checked/extended,yore 0.3.0,512,512,bytes,21697008.0,ns,59160
decode_checked/extended,yore 0.3.0,512,512,bytes,21920300.0,ns,60639
decode_checked/extended,yore 0.3.0,512,512,bytes,25616003.0,ns,62118
decode_checked/extended,yore 0.3.0,512,512,bytes,23957702.0,ns,63597
decode_checked/extended,yore 0.3.0,512,512,bytes,27070673.0,ns,65076
decode_checked/extended,yore 0.3.0,512,512,bytes,24288080.0,ns,66555
decode_checked/extended,yore 0.3.0,512,512,bytes,28235483.0,ns,68034
decode_checked/extended,yore 0.3.0,512,512,bytes,28667968.0,ns,69513
decode_checked/extended,yore 0.3.0,512,512,bytes,26278367.0,ns,70992
decode_checked/extended,yore 0.3.0,512,512,bytes,26553994.0,ns,72471
decode_checked/extended,yore 0.3.0,512,512,bytes,31352971.0,ns,73950
decode_checked/extended,yore 0.3.0,512,512,bytes,27783277.0,ns,75429
decode_checked/extended,yore 0.3.0,512,512,bytes,29051497.0,ns,76908
