group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,688992.0,ns,1359
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,1539684.0,ns,2718
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,1955938.0,ns,4077
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,2507911.0,ns,5436
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,2934404.0,ns,6795
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,4293847.0,ns,8154
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,3800246.0,ns,9513
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,5020295.0,ns,10872
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,7419981.0,ns,12231
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,6394135.0,ns,13590
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,5748231.0,ns,14949
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,6779439.0,ns,16308
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,8500206.0,ns,17667
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,7558864.0,ns,19026
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,8770542.0,ns,20385
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,9210913.0,ns,21744
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,13243947.0,ns,23103
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,11747213.0,ns,24462
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,13773839.0,ns,25821
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,15084791.0,ns,27180
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,12917121.0,ns,28539
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,16109048.0,ns,29898
decode_checked/mostly_ascii,encoding_rs* 0.8.28,512,512,bytes,15764159.0,ns,31257
