group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,592471.0,ns,6291
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,778489.0,ns,12582
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,1790592.0,ns,18873
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,2236088.0,ns,25164
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,2708578.0,ns,31455
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,4359739.0,ns,37746
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,3958867.0,ns,44037
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,3869187.0,ns,50328
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,5967540.0,ns,56619
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,4973439.0,ns,62910
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,6565089.0,ns,69201
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10262271.0,ns,75492
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,9028995.0,ns,81783
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10121589.0,ns,88074
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,9589937.0,ns,94365
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,8833443.0,ns,100656
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12462138.0,ns,106947
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10176835.0,ns,113238
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11291326.0,ns,119529
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12891417.0,ns,125820
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,11461640.0,ns,132111
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12596754.0,ns,138402
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,14097884.0,ns,144693
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12204627.0,ns,150984
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,10025372.0,ns,157275
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,14537819.0,ns,163566
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,15211693.0,ns,169857
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18351907.0,ns,176148
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,12936744.0,ns,182439
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,16758515.0,ns,188730
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27286562.0,ns,195021
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,15924416.0,ns,201312
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18388555.0,ns,207603
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18753352.0,ns,213894
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,23194665.0,ns,220185
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,17779246.0,ns,226476
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31401730.0,ns,232767
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,19619428.0,ns,239058
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,15021444.0,ns,245349
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,18797575.0,ns,251640
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,23020494.0,ns,257931
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,17144243.0,ns,264222
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,28091738.0,ns,270513
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,30757873.0,ns,276804
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,26731483.0,ns,283095
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,20481898.0,ns,289386
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,24627348.0,ns,295677
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35019252.0,ns,301968
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31353044.0,ns,308259
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32695493.0,ns,314550
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,28360772.0,ns,320841
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,25714330.0,ns,327132
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,25858406.0,ns,333423
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,33828600.0,ns,339714
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32079614.0,ns,346005
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31554900.0,ns,352296
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,26430672.0,ns,358587
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32223724.0,ns,364878
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,25115733.0,ns,371169
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,23859279.0,ns,377460
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,36933430.0,ns,383751
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,43647029.0,ns,390042
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,38424390.0,ns,396333
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35968044.0,ns,402624
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,31597793.0,ns,408915
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,44265342.0,ns,415206
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,45276692.0,ns,421497
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,34151093.0,ns,427788
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,38012464.0,ns,434079
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,47726618.0,ns,440370
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,32945337.0,ns,446661
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,35678797.0,ns,452952
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,53406709.0,ns,459243
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,47458149.0,ns,465534
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,43212330.0,ns,471825
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,50876936.0,ns,478116
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,27660930.0,ns,484407
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,39121030.0,ns,490698
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,56574507.0,ns,496989
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,34410765.0,ns,503280
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,47663677.0,ns,509571
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,28268937.0,ns,515862
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,39652428.0,ns,522153
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,44624865.0,ns,528444
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,41270321.0,ns,534735
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,50229669.0,ns,541026
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,69581717.0,ns,547317
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,49621982.0,ns,553608
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,59385256.0,ns,559899
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,45420892.0,ns,566190
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,61192131.0,ns,572481
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,46575662.0,ns,578772
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,60429383.0,ns,585063
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,53214359.0,ns,591354
decode_checked/mostly_ascii,encoding_rs* 0.8.28,64,64,bytes,50183568.0,ns,597645
