group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,899671.0,ns,1379
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,1718526.0,ns,2758
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,2664733.0,ns,4137
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,3666912.0,ns,5516
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,4515739.0,ns,6895
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,5513215.0,ns,8274
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,6047013.0,ns,9653
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,7367679.0,ns,11032
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,8181364.0,ns,12411
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,8740475.0,ns,13790
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,9426580.0,ns,15169
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,10527201.0,ns,16548
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,11380789.0,ns,17927
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,11909739.0,ns,19306
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,13739962.0,ns,20685
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,14553652.0,ns,22064
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,15351083.0,ns,23443
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,16963136.0,ns,24822
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,16187014.0,ns,26201
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,18171377.0,ns,27580
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,17723511.0,ns,28959
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,19281468.0,ns,30338
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,19765005.0,ns,31717
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,20719157.0,ns,33096
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,22026585.0,ns,34475
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,22568515.0,ns,35854
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,24313775.0,ns,37233
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,25380243.0,ns,38612
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,24248540.0,ns,39991
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,26771181.0,ns,41370
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,26576139.0,ns,42749
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,27982742.0,ns,44128
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,29087858.0,ns,45507
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,30527718.0,ns,46886
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,31016734.0,ns,48265
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,32471414.0,ns,49644
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,33506242.0,ns,51023
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,33015920.0,ns,52402
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,35541465.0,ns,53781
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,35287671.0,ns,55160
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,36397307.0,ns,56539
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,36386701.0,ns,57918
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,38635824.0,ns,59297
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,40368492.0,ns,60676
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,39952800.0,ns,62055
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,40270364.0,ns,63434
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,43814834.0,ns,64813
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,40533690.0,ns,66192
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,42629098.0,ns,67571
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,45510814.0,ns,68950
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,46130773.0,ns,70329
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,46915525.0,ns,71708
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,46450907.0,ns,73087
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,45874293.0,ns,74466
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,48883194.0,ns,75845
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,49427109.0,ns,77224
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,50214098.0,ns,78603
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,51644034.0,ns,79982
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,51779183.0,ns,81361
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,49462213.0,ns,82740
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,54082064.0,ns,84119
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,53919764.0,ns,85498
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,53550734.0,ns,86877
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,59315383.0,ns,88256
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,56608056.0,ns,89635
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,56794057.0,ns,91014
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,60036148.0,ns,92393
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,59849470.0,ns,93772
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,61469992.0,ns,95151
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,61574249.0,ns,96530
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,63252523.0,ns,97909
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,57754582.0,ns,99288
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,64321728.0,ns,100667
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,66194857.0,ns,102046
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,66683467.0,ns,103425
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,67377519.0,ns,104804
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,68911145.0,ns,106183
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,87163346.0,ns,107562
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,76473626.0,ns,108941
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,71017373.0,ns,110320
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,69909519.0,ns,111699
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,69488591.0,ns,113078
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,73563308.0,ns,114457
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,72669762.0,ns,115836
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,73901491.0,ns,117215
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,77571064.0,ns,118594
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,77900616.0,ns,119973
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,78377312.0,ns,121352
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,76357883.0,ns,122731
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,81035182.0,ns,124110
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,80039127.0,ns,125489
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,80168861.0,ns,126868
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,79575716.0,ns,128247
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,81948327.0,ns,129626
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,80321753.0,ns,131005
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,83995761.0,ns,132384
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,83848365.0,ns,133763
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,85485525.0,ns,135142
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,86012556.0,ns,136521
decode_checked/mostly_ascii,oem_cp 1.1.0,256,256,bytes,89948345.0,ns,137900
