group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,875311.0,ns,122
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,1719219.0,ns,244
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,2578205.0,ns,366
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,3682050.0,ns,488
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,4625836.0,ns,610
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,5283444.0,ns,732
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,6390743.0,ns,854
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,7253214.0,ns,976
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,7871524.0,ns,1098
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,8717452.0,ns,1220
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,9484943.0,ns,1342
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,10745171.0,ns,1464
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,11524825.0,ns,1586
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,11915146.0,ns,1708
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,12996363.0,ns,1830
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,14460636.0,ns,1952
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,14551074.0,ns,2074
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,15916875.0,ns,2196
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,16528160.0,ns,2318
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,17239595.0,ns,2440
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,18723311.0,ns,2562
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,19841943.0,ns,2684
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,20689486.0,ns,2806
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,21013175.0,ns,2928
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,21988487.0,ns,3050
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,22533874.0,ns,3172
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,22733912.0,ns,3294
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,24833316.0,ns,3416
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,26060469.0,ns,3538
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,26275851.0,ns,3660
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,27036344.0,ns,3782
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,28204671.0,ns,3904
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,28449236.0,ns,4026
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,30177160.0,ns,4148
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,30865916.0,ns,4270
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,31952509.0,ns,4392
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,32680657.0,ns,4514
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,32748767.0,ns,4636
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,34363768.0,ns,4758
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,33680986.0,ns,4880
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,36254475.0,ns,5002
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,35995782.0,ns,5124
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,36877013.0,ns,5246
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,40419491.0,ns,5368
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,38565543.0,ns,5490
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,40373721.0,ns,5612
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,42043550.0,ns,5734
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,42279718.0,ns,5856
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,44035732.0,ns,5978
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,44287124.0,ns,6100
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,44437027.0,ns,6222
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,46324482.0,ns,6344
decode_checked/mostly_ascii,oem_cp 1.1.0,4096,4096,bytes,47453302.0,ns,6466
