group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,122555.0,ns,18623
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1213411.0,ns,37246
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1804832.0,ns,55869
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,467763.0,ns,74492
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3014350.0,ns,93115
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3846314.0,ns,111738
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,838065.0,ns,130361
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5090989.0,ns,148984
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5413934.0,ns,167607
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6147004.0,ns,186230
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,6587933.0,ns,204853
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1408792.0,ns,223476
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,7793430.0,ns,242099
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1644208.0,ns,260722
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,9064550.0,ns,279345
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,9629232.0,ns,297968
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,1997026.0,ns,316591
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,10987649.0,ns,335214
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2233989.0,ns,353837
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2349373.0,ns,372460
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,12593643.0,ns,391083
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,13325453.0,ns,409706
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2704583.0,ns,428329
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,2849186.0,ns,446952
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,15079664.0,ns,465575
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3058463.0,ns,484198
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3175177.0,ns,502821
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,16711465.0,ns,521444
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,17546570.0,ns,540067
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3582096.0,ns,558690
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,18584367.0,ns,577313
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,19292447.0,ns,595936
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3881759.0,ns,614559
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,3997468.0,ns,633182
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4114368.0,ns,651805
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,21574617.0,ns,670428
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4358282.0,ns,689051
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,22871769.0,ns,707674
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,23539600.0,ns,726297
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4710505.0,ns,744920
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,4847237.0,ns,763543
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,25341556.0,ns,782166
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,26187600.0,ns,800789
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,5187652.0,ns,819412
decode_checked/mostly_ascii,yore 0.3.0,8,8,bytes,27130885.0,ns,838035
