group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,1097637.0,ns,271218
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,1963825.0,ns,542436
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,3222814.0,ns,813654
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,3981967.0,ns,1084872
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,4914393.0,ns,1356090
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,5887373.0,ns,1627308
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,6905858.0,ns,1898526
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,7905222.0,ns,2169744
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,8831378.0,ns,2440962
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,9814185.0,ns,2712180
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,11015462.0,ns,2983398
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,11775686.0,ns,3254616
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,12756431.0,ns,3525834
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,14041048.0,ns,3797052
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,14719716.0,ns,4068270
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,15754916.0,ns,4339488
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,16708302.0,ns,4610706
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,17667198.0,ns,4881924
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,18698691.0,ns,5153142
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,19848011.0,ns,5424360
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,20745542.0,ns,5695578
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,21642108.0,ns,5966796
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,22792069.0,ns,6238014
decode_incomplete/all_bad/checked,oem_cp 1.1.0,80,80,bytes,23773086.0,ns,6509232
