group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,1142478.0,ns,29943
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,1964727.0,ns,59886
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,3623778.0,ns,89829
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,4024336.0,ns,119772
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,4991475.0,ns,149715
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,5887084.0,ns,179658
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,6923830.0,ns,209601
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,7839246.0,ns,239544
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,8865832.0,ns,269487
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,9828244.0,ns,299430
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,10856187.0,ns,329373
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,11798953.0,ns,359316
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,12852364.0,ns,389259
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,13717782.0,ns,419202
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,14733458.0,ns,449145
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,15743924.0,ns,479088
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,16707235.0,ns,509031
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,17908508.0,ns,538974
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,18737067.0,ns,568917
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,19633242.0,ns,598860
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,20618035.0,ns,628803
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,21459333.0,ns,658746
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,22692469.0,ns,688689
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,23366073.0,ns,718632
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,24636902.0,ns,748575
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,25458107.0,ns,778518
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,26841773.0,ns,808461
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,28362061.0,ns,838404
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,28609016.0,ns,868347
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,29564831.0,ns,898290
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,30645185.0,ns,928233
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,31740496.0,ns,958176
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,32424778.0,ns,988119
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,33581743.0,ns,1018062
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,34720018.0,ns,1048005
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,35307646.0,ns,1077948
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,36619455.0,ns,1107891
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,37417737.0,ns,1137834
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,38426655.0,ns,1167777
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,39933790.0,ns,1197720
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,41417348.0,ns,1227663
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,41674847.0,ns,1257606
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,42165527.0,ns,1287549
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,43377392.0,ns,1317492
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,44416436.0,ns,1347435
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,45024102.0,ns,1377378
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,46159215.0,ns,1407321
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,46842819.0,ns,1437264
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,48267597.0,ns,1467207
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,49111570.0,ns,1497150
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,50731024.0,ns,1527093
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,51320880.0,ns,1557036
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,52191739.0,ns,1586979
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,53350068.0,ns,1616922
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,54363631.0,ns,1646865
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,55383083.0,ns,1676808
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,56506780.0,ns,1706751
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,57148994.0,ns,1736694
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,57827384.0,ns,1766637
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,59023271.0,ns,1796580
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,60091726.0,ns,1826523
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,60975367.0,ns,1856466
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,62049627.0,ns,1886409
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,62770752.0,ns,1916352
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,64066976.0,ns,1946295
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,20,20,bytes,64955396.0,ns,1976238
