group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,1155445.0,ns,30036
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,1955563.0,ns,60072
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,3331052.0,ns,90108
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,3994174.0,ns,120144
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,4928700.0,ns,150180
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,5975221.0,ns,180216
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,6820809.0,ns,210252
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,7807238.0,ns,240288
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,8933532.0,ns,270324
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,9810791.0,ns,300360
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,10880769.0,ns,330396
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,11723453.0,ns,360432
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,12906108.0,ns,390468
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,14006629.0,ns,420504
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,14887554.0,ns,450540
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,15722296.0,ns,480576
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,16717289.0,ns,510612
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,17640783.0,ns,540648
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,18575568.0,ns,570684
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,19837452.0,ns,600720
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,20712134.0,ns,630756
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,21563876.0,ns,660792
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,23004363.0,ns,690828
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,24013376.0,ns,720864
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,24791682.0,ns,750900
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,25751792.0,ns,780936
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,26498465.0,ns,810972
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,27766710.0,ns,841008
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,28580346.0,ns,871044
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,29737270.0,ns,901080
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,30846579.0,ns,931116
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,32784833.0,ns,961152
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,43044841.0,ns,991188
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,34252886.0,ns,1021224
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,35127367.0,ns,1051260
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,36218371.0,ns,1081296
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,37903193.0,ns,1111332
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,38082797.0,ns,1141368
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,38672898.0,ns,1171404
