group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,1147748.0,ns,5681
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,2005739.0,ns,11362
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,3120483.0,ns,17043
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,3961421.0,ns,22724
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,4969979.0,ns,28405
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,5949473.0,ns,34086
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,6996565.0,ns,39767
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,7898061.0,ns,45448
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,8896643.0,ns,51129
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,9878515.0,ns,56810
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,10861977.0,ns,62491
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,11854809.0,ns,68172
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,12847425.0,ns,73853
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,13818223.0,ns,79534
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,14823557.0,ns,85215
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,15846682.0,ns,90896
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,16804796.0,ns,96577
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,17804125.0,ns,102258
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,18771144.0,ns,107939
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,19850622.0,ns,113620
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,20763713.0,ns,119301
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,21728838.0,ns,124982
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,22741125.0,ns,130663
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,23785620.0,ns,136344
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,24697468.0,ns,142025
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,25672403.0,ns,147706
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,26661352.0,ns,153387
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,27699573.0,ns,159068
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,28743562.0,ns,164749
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,29697552.0,ns,170430
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,30632931.0,ns,176111
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,31701333.0,ns,181792
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,32705642.0,ns,187473
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,33558683.0,ns,193154
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,34575490.0,ns,198835
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,35587705.0,ns,204516
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,36575453.0,ns,210197
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,37629099.0,ns,215878
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,38570299.0,ns,221559
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,39652787.0,ns,227240
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,40517320.0,ns,232921
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,41582305.0,ns,238602
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,42536337.0,ns,244283
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,43598876.0,ns,249964
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,44635992.0,ns,255645
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,45529369.0,ns,261326
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,46426700.0,ns,267007
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,47599981.0,ns,272688
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,48546507.0,ns,278369
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,49412529.0,ns,284050
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,50520036.0,ns,289731
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,51471093.0,ns,295412
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,52402602.0,ns,301093
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,53456666.0,ns,306774
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,54383578.0,ns,312455
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,55356832.0,ns,318136
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,56403366.0,ns,323817
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,57349624.0,ns,329498
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,58419357.0,ns,335179
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,59535528.0,ns,340860
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,60314569.0,ns,346541
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,62188704.0,ns,352222
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,62547644.0,ns,357903
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,63332740.0,ns,363584
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,64569552.0,ns,369265
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,65204789.0,ns,374946
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,67277695.0,ns,380627
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,20,20,bytes,67205656.0,ns,386308
