group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,1041786.0,ns,2148
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,1977846.0,ns,4296
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,3159593.0,ns,6444
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,3966587.0,ns,8592
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,4951719.0,ns,10740
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,5971725.0,ns,12888
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,6934360.0,ns,15036
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,7909308.0,ns,17184
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,8888535.0,ns,19332
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,9883086.0,ns,21480
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,10961341.0,ns,23628
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,11842711.0,ns,25776
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,12847019.0,ns,27924
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,13846895.0,ns,30072
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,14883922.0,ns,32220
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,15860445.0,ns,34368
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,16821684.0,ns,36516
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,17795982.0,ns,38664
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,18778082.0,ns,40812
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,19771944.0,ns,42960
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,20741301.0,ns,45108
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,21905206.0,ns,47256
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,22764960.0,ns,49404
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,23738711.0,ns,51552
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,24701968.0,ns,53700
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,25723827.0,ns,55848
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,26783248.0,ns,57996
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,27908799.0,ns,60144
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,28770698.0,ns,62292
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,29683775.0,ns,64440
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,30808688.0,ns,66588
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,31627050.0,ns,68736
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,32655385.0,ns,70884
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,34214698.0,ns,73032
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,35182281.0,ns,75180
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,80,80,bytes,35864028.0,ns,77328
