group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,1152473.0,ns,2086
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,2008139.0,ns,4172
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,3121595.0,ns,6258
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,4102812.0,ns,8344
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,5018795.0,ns,10430
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,5951663.0,ns,12516
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,6909855.0,ns,14602
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,7891447.0,ns,16688
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,8885782.0,ns,18774
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,9886938.0,ns,20860
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,10865909.0,ns,22946
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,11864339.0,ns,25032
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,12833745.0,ns,27118
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,13876613.0,ns,29204
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,14822901.0,ns,31290
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,15796100.0,ns,33376
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,16802195.0,ns,35462
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,17797721.0,ns,37548
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,19261850.0,ns,39634
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,20336085.0,ns,41720
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,20964266.0,ns,43806
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,21789820.0,ns,45892
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,22742838.0,ns,47978
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,23728484.0,ns,50064
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,24784451.0,ns,52150
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,25688561.0,ns,54236
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,26666745.0,ns,56322
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,27667696.0,ns,58408
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,28638083.0,ns,60494
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,29733659.0,ns,62580
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,30663075.0,ns,64666
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,31721842.0,ns,66752
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,32670662.0,ns,68838
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,33579619.0,ns,70924
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,34562729.0,ns,73010
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,35599787.0,ns,75096
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,36625557.0,ns,77182
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,37618553.0,ns,79268
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,38566869.0,ns,81354
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,39543953.0,ns,83440
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,40500591.0,ns,85526
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,41485416.0,ns,87612
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,42474512.0,ns,89698
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,43522637.0,ns,91784
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,44533159.0,ns,93870
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,45468212.0,ns,95956
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,46418263.0,ns,98042
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,47451988.0,ns,100128
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,50099902.0,ns,102214
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,49601828.0,ns,104300
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,50816849.0,ns,106386
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,51835092.0,ns,108472
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,52337490.0,ns,110558
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,53887894.0,ns,112644
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,54416342.0,ns,114730
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,55343348.0,ns,116816
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,56393029.0,ns,118902
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,57224325.0,ns,120988
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,58445626.0,ns,123074
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,59199600.0,ns,125160
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,60287217.0,ns,127246
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,61222175.0,ns,129332
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,62391503.0,ns,131418
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,63456410.0,ns,133504
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,64252588.0,ns,135590
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,65349260.0,ns,137676
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,66435048.0,ns,139762
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,67257896.0,ns,141848
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,68097169.0,ns,143934
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,69227044.0,ns,146020
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,70145677.0,ns,148106
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,71115547.0,ns,150192
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,72853121.0,ns,152278
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,73301468.0,ns,154364
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,74143533.0,ns,156450
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,20,20,bytes,75032962.0,ns,158536
