group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,1031001.0,ns,190
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,1973564.0,ns,380
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,3225358.0,ns,570
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,3977692.0,ns,760
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,4936194.0,ns,950
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,5951048.0,ns,1140
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,6911077.0,ns,1330
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,7926011.0,ns,1520
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,8912425.0,ns,1710
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,9873141.0,ns,1900
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,10913873.0,ns,2090
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,11847523.0,ns,2280
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,12888272.0,ns,2470
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,13880146.0,ns,2660
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,14808989.0,ns,2850
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,15833990.0,ns,3040
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,16811756.0,ns,3230
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,17851388.0,ns,3420
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,18790280.0,ns,3610
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,19744483.0,ns,3800
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,20757674.0,ns,3990
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,21719925.0,ns,4180
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,22786524.0,ns,4370
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,23694568.0,ns,4560
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,24794576.0,ns,4750
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,25791671.0,ns,4940
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,26727291.0,ns,5130
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,27685531.0,ns,5320
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,28808471.0,ns,5510
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,29648589.0,ns,5700
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,30633866.0,ns,5890
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,31649377.0,ns,6080
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,32613129.0,ns,6270
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,33658027.0,ns,6460
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,34702448.0,ns,6650
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,35633754.0,ns,6840
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,36671597.0,ns,7030
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,37610801.0,ns,7220
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,38507885.0,ns,7410
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,39588332.0,ns,7600
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,40706632.0,ns,7790
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,41599389.0,ns,7980
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,42606620.0,ns,8170
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,43472973.0,ns,8360
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,44485802.0,ns,8550
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,45502157.0,ns,8740
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,46609803.0,ns,8930
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,47478610.0,ns,9120
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,48471329.0,ns,9310
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,50088901.0,ns,9500
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,50406614.0,ns,9690
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,51545144.0,ns,9880
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,52390506.0,ns,10070
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,53349218.0,ns,10260
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,54331223.0,ns,10450
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,55333555.0,ns,10640
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,56449631.0,ns,10830
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,57350517.0,ns,11020
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,58307226.0,ns,11210
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,59276304.0,ns,11400
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,60399219.0,ns,11590
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,320,320,bytes,61300533.0,ns,11780
