group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,1180926.0,ns,8280
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,1979945.0,ns,16560
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,3160633.0,ns,24840
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,4119652.0,ns,33120
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,5079939.0,ns,41400
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,6240507.0,ns,49680
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,6920796.0,ns,57960
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,7914357.0,ns,66240
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,8902617.0,ns,74520
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,9885023.0,ns,82800
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,10955434.0,ns,91080
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,11901982.0,ns,99360
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,12828570.0,ns,107640
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,13846695.0,ns,115920
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,14845063.0,ns,124200
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,15894758.0,ns,132480
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,16780420.0,ns,140760
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,17791224.0,ns,149040
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,18748372.0,ns,157320
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,19764458.0,ns,165600
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,21038839.0,ns,173880
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,22229743.0,ns,182160
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,23145324.0,ns,190440
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,24337036.0,ns,198720
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,25264965.0,ns,207000
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,25871365.0,ns,215280
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,26909976.0,ns,223560
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,28067827.0,ns,231840
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,28901925.0,ns,240120
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,29748899.0,ns,248400
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,30766191.0,ns,256680
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,31620003.0,ns,264960
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,32572717.0,ns,273240
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,33684297.0,ns,281520
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,34659863.0,ns,289800
decode_incomplete/all_bad/lossy,yore 0.1.0,160,160,bytes,35593545.0,ns,298080
