group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,1147418.0,ns,24333
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,1977812.0,ns,48666
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,3136211.0,ns,72999
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,4137012.0,ns,97332
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,5071796.0,ns,121665
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,6003612.0,ns,145998
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,6977902.0,ns,170331
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,7960102.0,ns,194664
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,8924378.0,ns,218997
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,9882515.0,ns,243330
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,10897629.0,ns,267663
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,11849246.0,ns,291996
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,12843188.0,ns,316329
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,13841580.0,ns,340662
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,14819397.0,ns,364995
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,15875109.0,ns,389328
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,16793947.0,ns,413661
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,17782712.0,ns,437994
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,18770796.0,ns,462327
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,19796677.0,ns,486660
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,20785840.0,ns,510993
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,21879477.0,ns,535326
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,22747826.0,ns,559659
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,23772055.0,ns,583992
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,24930489.0,ns,608325
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,26151744.0,ns,632658
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,26913257.0,ns,656991
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,27693824.0,ns,681324
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,28685906.0,ns,705657
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,29832105.0,ns,729990
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,30708901.0,ns,754323
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,31727175.0,ns,778656
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,32695913.0,ns,802989
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,33612435.0,ns,827322
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,34649336.0,ns,851655
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,35611420.0,ns,875988
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,36581594.0,ns,900321
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,37545436.0,ns,924654
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,38729117.0,ns,948987
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,39768754.0,ns,973320
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,40557569.0,ns,997653
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,41566188.0,ns,1021986
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,42667104.0,ns,1046319
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,43571928.0,ns,1070652
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,44616797.0,ns,1094985
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,45516491.0,ns,1119318
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,46447904.0,ns,1143651
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,47429730.0,ns,1167984
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,48412626.0,ns,1192317
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,49484814.0,ns,1216650
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,50434964.0,ns,1240983
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,51483224.0,ns,1265316
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,52386787.0,ns,1289649
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,53406195.0,ns,1313982
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,54477355.0,ns,1338315
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,55353628.0,ns,1362648
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,56362036.0,ns,1386981
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,57315670.0,ns,1411314
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,58424498.0,ns,1435647
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,59364366.0,ns,1459980
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,60393451.0,ns,1484313
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,61314571.0,ns,1508646
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,63064249.0,ns,1532979
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,63346419.0,ns,1557312
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,65093380.0,ns,1581645
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,65269630.0,ns,1605978
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,66286411.0,ns,1630311
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,67310604.0,ns,1654644
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,68319000.0,ns,1678977
decode_incomplete/all_bad/lossy,yore 0.1.0,40,40,bytes,69258737.0,ns,1703310
