group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,1071004.0,ns,10174
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,1854544.0,ns,20348
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,3378538.0,ns,30522
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,3822544.0,ns,40696
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,5282918.0,ns,50870
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,6362661.0,ns,61044
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,6548751.0,ns,71218
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,8465974.0,ns,81392
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,8829371.0,ns,91566
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,9572703.0,ns,101740
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,10593659.0,ns,111914
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,11751146.0,ns,122088
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,12608346.0,ns,132262
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,13788914.0,ns,142436
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,14703722.0,ns,152610
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,15448563.0,ns,162784
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,17456198.0,ns,172958
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,18268017.0,ns,183132
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,18751211.0,ns,193306
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,19648347.0,ns,203480
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,20543047.0,ns,213654
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,20884002.0,ns,223828
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,21996211.0,ns,234002
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,24156143.0,ns,244176
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,25320812.0,ns,254350
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,26011675.0,ns,264524
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,27865637.0,ns,274698
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,28074924.0,ns,284872
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,28765271.0,ns,295046
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,28834821.0,ns,305220
