group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,1203037.0,ns,13844
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,2118397.0,ns,27688
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,3371287.0,ns,41532
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,4274062.0,ns,55376
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,5109094.0,ns,69220
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,6359329.0,ns,83064
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,7011081.0,ns,96908
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,8081228.0,ns,110752
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,9032899.0,ns,124596
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,10246439.0,ns,138440
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,11035134.0,ns,152284
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,12268989.0,ns,166128
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,12457494.0,ns,179972
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,13337665.0,ns,193816
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,14548373.0,ns,207660
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,15814322.0,ns,221504
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,17365122.0,ns,235348
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,18347413.0,ns,249192
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,18793909.0,ns,263036
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,20140641.0,ns,276880
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,21208972.0,ns,290724
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,22354579.0,ns,304568
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,23052315.0,ns,318412
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,23225889.0,ns,332256
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,25284561.0,ns,346100
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,26367379.0,ns,359944
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,26706465.0,ns,373788
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,27253774.0,ns,387632
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,29276796.0,ns,401476
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,28551223.0,ns,415320
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,29674641.0,ns,429164
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,30632707.0,ns,443008
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,31479404.0,ns,456852
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,33916259.0,ns,470696
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,34478273.0,ns,484540
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,35899786.0,ns,498384
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,37939743.0,ns,512228
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,36949097.0,ns,526072
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,38450792.0,ns,539916
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,41037144.0,ns,553760
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,40904513.0,ns,567604
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,41734272.0,ns,581448
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,41507751.0,ns,595292
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,43349094.0,ns,609136
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,44694437.0,ns,622980
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,45392174.0,ns,636824
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,46078090.0,ns,650668
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,47936945.0,ns,664512
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,47339484.0,ns,678356
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,49685475.0,ns,692200
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,50910428.0,ns,706044
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,52324564.0,ns,719888
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,51332059.0,ns,733732
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,53553391.0,ns,747576
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,53444275.0,ns,761420
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,54757304.0,ns,775264
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,57351056.0,ns,789108
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,57576396.0,ns,802952
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,59022719.0,ns,816796
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,59124097.0,ns,830640
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,61906399.0,ns,844484
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,59610102.0,ns,858328
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,61173479.0,ns,872172
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,62639230.0,ns,886016
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,64177678.0,ns,899860
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,64358485.0,ns,913704
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,64917365.0,ns,927548
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,68148323.0,ns,941392
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,68186017.0,ns,955236
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,69807433.0,ns,969080
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,72494661.0,ns,982924
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,71624070.0,ns,996768
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,70870130.0,ns,1010612
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,73118729.0,ns,1024456
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,73721409.0,ns,1038300
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,73227936.0,ns,1052144
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,75216432.0,ns,1065988
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,78061265.0,ns,1079832
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,77915416.0,ns,1093676
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,77438337.0,ns,1107520
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,80091090.0,ns,1121364
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,79248909.0,ns,1135208
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,82343313.0,ns,1149052
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,83901454.0,ns,1162896
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,83663145.0,ns,1176740
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,84029314.0,ns,1190584
decode_incomplete/ascii,rust-encoding 0.2.33,20,20,bytes,85736097.0,ns,1204428
