group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,1042821.0,ns,4611
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,2059283.0,ns,9222
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,3445662.0,ns,13833
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,3782082.0,ns,18444
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,4839827.0,ns,23055
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,5316707.0,ns,27666
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,6894121.0,ns,32277
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,7306909.0,ns,36888
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,8190502.0,ns,41499
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,8846573.0,ns,46110
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,9647574.0,ns,50721
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,10599867.0,ns,55332
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,13261144.0,ns,59943
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,13990343.0,ns,64554
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,14241144.0,ns,69165
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,15766993.0,ns,73776
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,16209612.0,ns,78387
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,17126881.0,ns,82998
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,19624053.0,ns,87609
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,19693113.0,ns,92220
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,20464289.0,ns,96831
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,21074126.0,ns,101442
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,23376337.0,ns,106053
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,24407007.0,ns,110664
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,23015813.0,ns,115275
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,26321271.0,ns,119886
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,27227370.0,ns,124497
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,27730408.0,ns,129108
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,27565980.0,ns,133719
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,29159405.0,ns,138330
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,31890300.0,ns,142941
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,32809956.0,ns,147552
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,33264711.0,ns,152163
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,35033049.0,ns,156774
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,35187199.0,ns,161385
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,33983218.0,ns,165996
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,33652278.0,ns,170607
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,37626805.0,ns,175218
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,39455132.0,ns,179829
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,39926651.0,ns,184440
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,40413241.0,ns,189051
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,41239006.0,ns,193662
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,43623877.0,ns,198273
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,42417484.0,ns,202884
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,44017178.0,ns,207495
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,45921683.0,ns,212106
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,44711558.0,ns,216717
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,49541775.0,ns,221328
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,49221410.0,ns,225939
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,48799318.0,ns,230550
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,50455469.0,ns,235161
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,50168503.0,ns,239772
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,51370935.0,ns,244383
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,52782688.0,ns,248994
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,54751581.0,ns,253605
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,57742615.0,ns,258216
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,55305445.0,ns,262827
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,57528404.0,ns,267438
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,58388540.0,ns,272049
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,56064041.0,ns,276660
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,53970322.0,ns,281271
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,61692779.0,ns,285882
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,61996361.0,ns,290493
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,65476416.0,ns,295104
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,65455521.0,ns,299715
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,65472378.0,ns,304326
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,67078183.0,ns,308937
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,65174992.0,ns,313548
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,69322362.0,ns,318159
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,67158552.0,ns,322770
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,62881889.0,ns,327381
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,71058022.0,ns,331992
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,73139647.0,ns,336603
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,74704960.0,ns,341214
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,72008140.0,ns,345825
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,75303021.0,ns,350436
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,75991885.0,ns,355047
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,78387408.0,ns,359658
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,78072959.0,ns,364269
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,79937516.0,ns,368880
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,78349845.0,ns,373491
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,82658982.0,ns,378102
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,82446801.0,ns,382713
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,84291270.0,ns,387324
