group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,1100704.0,ns,232040
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,2007814.0,ns,464080
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,3222535.0,ns,696120
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,4088442.0,ns,928160
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,5046039.0,ns,1160200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,6014013.0,ns,1392240
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,6924531.0,ns,1624280
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,7901693.0,ns,1856320
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,8888909.0,ns,2088360
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,9877438.0,ns,2320400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,10865050.0,ns,2552440
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,11852299.0,ns,2784480
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,12839648.0,ns,3016520
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,13853533.0,ns,3248560
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,14842893.0,ns,3480600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,15867251.0,ns,3712640
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,16844124.0,ns,3944680
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,17779443.0,ns,4176720
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,18765250.0,ns,4408760
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,19807455.0,ns,4640800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,20805543.0,ns,4872840
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,21730943.0,ns,5104880
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,22805436.0,ns,5336920
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,23800878.0,ns,5568960
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,24751359.0,ns,5801000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,25716432.0,ns,6033040
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,26835605.0,ns,6265080
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,27684907.0,ns,6497120
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,28678016.0,ns,6729160
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,29656950.0,ns,6961200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,30705492.0,ns,7193240
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,31786938.0,ns,7425280
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,32647667.0,ns,7657320
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,33584958.0,ns,7889360
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,34627049.0,ns,8121400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,35586764.0,ns,8353440
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,36679071.0,ns,8585480
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,37592395.0,ns,8817520
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,38604979.0,ns,9049560
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,39594678.0,ns,9281600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,40507226.0,ns,9513640
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,41548014.0,ns,9745680
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,42529984.0,ns,9977720
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,43511393.0,ns,10209760
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,44540733.0,ns,10441800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,45489435.0,ns,10673840
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,46450342.0,ns,10905880
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,47498033.0,ns,11137920
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,48519134.0,ns,11369960
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,49580814.0,ns,11602000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,50398473.0,ns,11834040
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,51417433.0,ns,12066080
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,52417121.0,ns,12298120
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,53397031.0,ns,12530160
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,54530732.0,ns,12762200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,55344784.0,ns,12994240
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,56411156.0,ns,13226280
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,57416907.0,ns,13458320
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,58360648.0,ns,13690360
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,59340950.0,ns,13922400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,60336732.0,ns,14154440
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,61279593.0,ns,14386480
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,62358490.0,ns,14618520
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,63331312.0,ns,14850560
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,64342381.0,ns,15082600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,65217274.0,ns,15314640
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,66308860.0,ns,15546680
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,67288975.0,ns,15778720
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,68264181.0,ns,16010760
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,69241290.0,ns,16242800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,70322160.0,ns,16474840
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,71143759.0,ns,16706880
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,72249996.0,ns,16938920
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,73229202.0,ns,17170960
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,74231441.0,ns,17403000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,75244036.0,ns,17635040
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,76052063.0,ns,17867080
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,77262029.0,ns,18099120
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,78079506.0,ns,18331160
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,79124653.0,ns,18563200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,80173415.0,ns,18795240
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,81083729.0,ns,19027280
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,82038655.0,ns,19259320
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,83127300.0,ns,19491360
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,84023574.0,ns,19723400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,85075340.0,ns,19955440
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,86074116.0,ns,20187480
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,86976033.0,ns,20419520
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,87989223.0,ns,20651560
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,89058909.0,ns,20883600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,90013717.0,ns,21115640
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,90974190.0,ns,21347680
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,91991329.0,ns,21579720
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,93169902.0,ns,21811760
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,93937397.0,ns,22043800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,94928962.0,ns,22275840
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,98473706.0,ns,22507880
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,97014252.0,ns,22739920
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,97928294.0,ns,22971960
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,98902493.0,ns,23204000
