group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,1121043.0,ns,2026
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,1972676.0,ns,4052
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,3066126.0,ns,6078
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,3985513.0,ns,8104
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,5254370.0,ns,10130
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,6002722.0,ns,12156
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,6909120.0,ns,14182
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,7883535.0,ns,16208
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,8922288.0,ns,18234
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,9870516.0,ns,20260
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,10889033.0,ns,22286
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,11903636.0,ns,24312
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,12971036.0,ns,26338
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,13855605.0,ns,28364
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,14807929.0,ns,30390
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,15773689.0,ns,32416
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,16787326.0,ns,34442
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,17767069.0,ns,36468
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,18812743.0,ns,38494
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,19770926.0,ns,40520
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,20780614.0,ns,42546
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,21764981.0,ns,44572
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,22724436.0,ns,46598
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,23731643.0,ns,48624
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,24749846.0,ns,50650
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,25737443.0,ns,52676
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,26694005.0,ns,54702
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,27681940.0,ns,56728
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,28685987.0,ns,58754
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,29623191.0,ns,60780
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,30621671.0,ns,62806
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,31580188.0,ns,64832
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,32597683.0,ns,66858
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,33698262.0,ns,68884
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,34599152.0,ns,70910
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,35597538.0,ns,72936
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,36600036.0,ns,74962
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,37560392.0,ns,76988
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,38590553.0,ns,79014
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,39589070.0,ns,81040
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,40650496.0,ns,83066
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,41550302.0,ns,85092
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,42540999.0,ns,87118
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,43494832.0,ns,89144
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,44494506.0,ns,91170
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,45445004.0,ns,93196
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,46638196.0,ns,95222
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,47450660.0,ns,97248
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,48449999.0,ns,99274
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,49441815.0,ns,101300
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,50491105.0,ns,103326
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,51557154.0,ns,105352
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,52469818.0,ns,107378
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,53427009.0,ns,109404
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,54534428.0,ns,111430
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,55478661.0,ns,113456
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,56496031.0,ns,115482
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,57333702.0,ns,117508
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,58294817.0,ns,119534
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,59344332.0,ns,121560
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,60485288.0,ns,123586
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,61316967.0,ns,125612
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,62315744.0,ns,127638
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,63284176.0,ns,129664
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,64392347.0,ns,131690
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,65224302.0,ns,133716
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,66533705.0,ns,135742
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,67278305.0,ns,137768
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,68294628.0,ns,139794
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,69120415.0,ns,141820
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,70231012.0,ns,143846
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,71312269.0,ns,145872
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,72282064.0,ns,147898
decode_incomplete/extended/checked,oem_cp 1.1.0,64,64,bytes,73127006.0,ns,149924
