group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,1097971.0,ns,4648
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,1974958.0,ns,9296
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,3090918.0,ns,13944
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,3971050.0,ns,18592
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,5046763.0,ns,23240
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,5944707.0,ns,27888
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,6894620.0,ns,32536
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,7874506.0,ns,37184
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,8853949.0,ns,41832
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,9836345.0,ns,46480
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,10818173.0,ns,51128
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,11807647.0,ns,55776
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,12964110.0,ns,60424
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,13770919.0,ns,65072
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,14759981.0,ns,69720
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,15747790.0,ns,74368
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,16730636.0,ns,79016
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,17716609.0,ns,83664
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,18719987.0,ns,88312
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,19734089.0,ns,92960
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,20665487.0,ns,97608
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,21646154.0,ns,102256
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,22628214.0,ns,106904
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,23677239.0,ns,111552
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,24603419.0,ns,116200
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,25611463.0,ns,120848
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,26580194.0,ns,125496
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,27542056.0,ns,130144
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,28551350.0,ns,134792
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,29617086.0,ns,139440
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,30570437.0,ns,144088
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,31566352.0,ns,148736
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,32492226.0,ns,153384
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,33462320.0,ns,158032
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,34458646.0,ns,162680
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,35435430.0,ns,167328
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,36523899.0,ns,171976
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,37476481.0,ns,176624
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,38478788.0,ns,181272
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,39418254.0,ns,185920
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,40345253.0,ns,190568
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,41372394.0,ns,195216
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,42322301.0,ns,199864
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,43383402.0,ns,204512
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,44303251.0,ns,209160
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,45634355.0,ns,213808
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,46514547.0,ns,218456
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,47251404.0,ns,223104
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,48289500.0,ns,227752
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,49263586.0,ns,232400
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,50251867.0,ns,237048
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,51216229.0,ns,241696
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,52224009.0,ns,246344
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,53190123.0,ns,250992
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,54162566.0,ns,255640
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,55146384.0,ns,260288
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,56411344.0,ns,264936
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,57096894.0,ns,269584
decode_incomplete/extended/checked,rust-encoding 0.2.33,16,16,bytes,58156206.0,ns,274232
