group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,1126231.0,ns,1821
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,1965276.0,ns,3642
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,3071993.0,ns,5463
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,4021336.0,ns,7284
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,5463193.0,ns,9105
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,6084567.0,ns,10926
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,6906174.0,ns,12747
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,7911407.0,ns,14568
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,8836828.0,ns,16389
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,9903945.0,ns,18210
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,10843962.0,ns,20031
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,11785569.0,ns,21852
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,12766557.0,ns,23673
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,13744911.0,ns,25494
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,14782129.0,ns,27315
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,15745299.0,ns,29136
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,16759095.0,ns,30957
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,17705134.0,ns,32778
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,18692754.0,ns,34599
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,19685135.0,ns,36420
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,20629550.0,ns,38241
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,21690050.0,ns,40062
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,22681998.0,ns,41883
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,23715428.0,ns,43704
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,24627048.0,ns,45525
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,25634290.0,ns,47346
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,26565602.0,ns,49167
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,27512800.0,ns,50988
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,28551910.0,ns,52809
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,29653590.0,ns,54630
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,30687033.0,ns,56451
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,31666249.0,ns,58272
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,32665047.0,ns,60093
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,33642251.0,ns,61914
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,34580338.0,ns,63735
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,35350316.0,ns,65556
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,36350414.0,ns,67377
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,37420318.0,ns,69198
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,38616354.0,ns,71019
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,39483268.0,ns,72840
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,40230005.0,ns,74661
