group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,1147782.0,ns,9332
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,1976246.0,ns,18664
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,3097425.0,ns,27996
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,4179822.0,ns,37328
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,5026169.0,ns,46660
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,5975916.0,ns,55992
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,6996178.0,ns,65324
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,7902602.0,ns,74656
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,8889073.0,ns,83988
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,9872537.0,ns,93320
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,10869584.0,ns,102652
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,11849549.0,ns,111984
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,12837558.0,ns,121316
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,13822660.0,ns,130648
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,14876448.0,ns,139980
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,15806426.0,ns,149312
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,16824422.0,ns,158644
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,17830264.0,ns,167976
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,18809874.0,ns,177308
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,19772130.0,ns,186640
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,20733082.0,ns,195972
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,21923989.0,ns,205304
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,22714450.0,ns,214636
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,23783442.0,ns,223968
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,24684671.0,ns,233300
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,25682746.0,ns,242632
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,26760266.0,ns,251964
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,27644654.0,ns,261296
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,28829860.0,ns,270628
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,29732028.0,ns,279960
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,30725399.0,ns,289292
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,31846445.0,ns,298624
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,32682348.0,ns,307956
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,33608742.0,ns,317288
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,34644684.0,ns,326620
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,35555057.0,ns,335952
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,36530805.0,ns,345284
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,37561014.0,ns,354616
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,38615395.0,ns,363948
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,39637887.0,ns,373280
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,40542250.0,ns,382612
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,41548671.0,ns,391944
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,42507273.0,ns,401276
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,43484343.0,ns,410608
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,44693095.0,ns,419940
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,45487819.0,ns,429272
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,46441524.0,ns,438604
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,47456370.0,ns,447936
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,48426133.0,ns,457268
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,49516430.0,ns,466600
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,50435348.0,ns,475932
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,51685878.0,ns,485264
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,52371054.0,ns,494596
decode_incomplete/extended/lossy,oem_cp 1.1.0,8,8,bytes,53390096.0,ns,503928
