group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,1063151.0,ns,1022
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,1967781.0,ns,2044
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,3013837.0,ns,3066
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,4052819.0,ns,4088
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,4946543.0,ns,5110
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,5983077.0,ns,6132
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,6891359.0,ns,7154
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,7905821.0,ns,8176
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,8894054.0,ns,9198
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,9896680.0,ns,10220
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,10804347.0,ns,11242
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,11802479.0,ns,12264
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,12832224.0,ns,13286
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,13819353.0,ns,14308
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,14759717.0,ns,15330
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,15856658.0,ns,16352
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,16765490.0,ns,17374
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,17694912.0,ns,18396
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,18823079.0,ns,19418
decode_incomplete/extended/lossy,rust-encoding 0.2.33,128,128,bytes,19706310.0,ns,20440
