group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,1145957.0,ns,7429
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,1968667.0,ns,14858
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,3084313.0,ns,22287
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,4072827.0,ns,29716
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,5027994.0,ns,37145
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,6037168.0,ns,44574
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,6901935.0,ns,52003
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,7882321.0,ns,59432
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,8873650.0,ns,66861
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,9893723.0,ns,74290
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,10824065.0,ns,81719
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,11820636.0,ns,89148
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,12812572.0,ns,96577
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,13801473.0,ns,104006
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,14839412.0,ns,111435
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,15836003.0,ns,118864
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,16936757.0,ns,126293
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,17759083.0,ns,133722
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,18896722.0,ns,141151
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,19746774.0,ns,148580
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,20706504.0,ns,156009
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,21717815.0,ns,163438
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,22743578.0,ns,170867
decode_incomplete/extended/lossy,rust-encoding 0.2.33,8,8,bytes,23652894.0,ns,178296
