group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,1032761.0,ns,9472
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,1970561.0,ns,18944
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,3343685.0,ns,28416
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,3995986.0,ns,37888
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,4992397.0,ns,47360
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,5955312.0,ns,56832
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,6936204.0,ns,66304
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,7926119.0,ns,75776
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,8885706.0,ns,85248
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,9863785.0,ns,94720
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,10879489.0,ns,104192
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,11816037.0,ns,113664
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,12811679.0,ns,123136
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,13836927.0,ns,132608
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,14761292.0,ns,142080
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,15784045.0,ns,151552
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,16736499.0,ns,161024
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,17727817.0,ns,170496
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,18707197.0,ns,179968
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,19698732.0,ns,189440
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,20714657.0,ns,198912
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,21689087.0,ns,208384
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,22639520.0,ns,217856
decode_incomplete/extended/lossy,yore 0.1.0,128,128,bytes,23623993.0,ns,227328
