group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,1146244.0,ns,1973
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,2012986.0,ns,3946
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,3108841.0,ns,5919
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,4134248.0,ns,7892
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,5045536.0,ns,9865
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,6003742.0,ns,11838
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,6933724.0,ns,13811
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,7978825.0,ns,15784
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,8968851.0,ns,17757
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,9882119.0,ns,19730
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,10861978.0,ns,21703
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,11901638.0,ns,23676
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,12881016.0,ns,25649
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,13861160.0,ns,27622
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,14898769.0,ns,29595
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,15838024.0,ns,31568
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,16858088.0,ns,33541
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,17918397.0,ns,35514
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,18688977.0,ns,37487
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,19810351.0,ns,39460
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,20845293.0,ns,41433
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,21811263.0,ns,43406
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,22736433.0,ns,45379
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,23787638.0,ns,47352
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,24714894.0,ns,49325
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,25802671.0,ns,51298
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,26839321.0,ns,53271
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,27660456.0,ns,55244
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,28706181.0,ns,57217
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,29710561.0,ns,59190
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,31188655.0,ns,61163
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,31703240.0,ns,63136
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,32640230.0,ns,65109
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,33729068.0,ns,67082
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,34685317.0,ns,69055
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,35743101.0,ns,71028
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,36463367.0,ns,73001
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,37577593.0,ns,74974
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,38572932.0,ns,76947
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,39592968.0,ns,78920
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,40585896.0,ns,80893
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,41516430.0,ns,82866
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,42573279.0,ns,84839
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,80,80,bytes,43525330.0,ns,86812
