group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1147217.0,ns,836
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1973070.0,ns,1672
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,3125380.0,ns,2508
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,4092065.0,ns,3344
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,4983962.0,ns,4180
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,5952695.0,ns,5016
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,6914114.0,ns,5852
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,7925537.0,ns,6688
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,8875763.0,ns,7524
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,9862286.0,ns,8360
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,10924327.0,ns,9196
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,11895488.0,ns,10032
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,12823388.0,ns,10868
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,13839744.0,ns,11704
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,14797678.0,ns,12540
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,15784975.0,ns,13376
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,16778184.0,ns,14212
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,17753873.0,ns,15048
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,18737591.0,ns,15884
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,19792393.0,ns,16720
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,20762901.0,ns,17556
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,21759700.0,ns,18392
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,22718542.0,ns,19228
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,23672371.0,ns,20064
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,24716181.0,ns,20900
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,25702039.0,ns,21736
