group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,1146656.0,ns,2594
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,1980801.0,ns,5188
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,3251073.0,ns,7782
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,3992990.0,ns,10376
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,5042570.0,ns,12970
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,5929482.0,ns,15564
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,6913299.0,ns,18158
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,7901501.0,ns,20752
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,8888117.0,ns,23346
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,9875930.0,ns,25940
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,10863926.0,ns,28534
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,11852433.0,ns,31128
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,12890946.0,ns,33722
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,13831675.0,ns,36316
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,15012885.0,ns,38910
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,15803430.0,ns,41504
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,16791855.0,ns,44098
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,17776379.0,ns,46692
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,18823940.0,ns,49286
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,19758386.0,ns,51880
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,20766904.0,ns,54474
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,21784267.0,ns,57068
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,22779822.0,ns,59662
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,23731880.0,ns,62256
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,24693807.0,ns,64850
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,25759696.0,ns,67444
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,26746335.0,ns,70038
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,27658298.0,ns,72632
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,28799499.0,ns,75226
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,29630064.0,ns,77820
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,30648664.0,ns,80414
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,31636969.0,ns,83008
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,32593083.0,ns,85602
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,33742170.0,ns,88196
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,34762490.0,ns,90790
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,35608399.0,ns,93384
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,36621336.0,ns,95978
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,37784450.0,ns,98572
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,38512780.0,ns,101166
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,39579077.0,ns,103760
