group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,1040148.0,ns,24292
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,1975087.0,ns,48584
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,3078526.0,ns,72876
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,4128035.0,ns,97168
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,5043367.0,ns,121460
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,6022858.0,ns,145752
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,6936185.0,ns,170044
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,7896569.0,ns,194336
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,8936865.0,ns,218628
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,9930450.0,ns,242920
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,10888666.0,ns,267212
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,11952424.0,ns,291504
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,12829584.0,ns,315796
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,13813064.0,ns,340088
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,14803586.0,ns,364380
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,15787460.0,ns,388672
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,16804808.0,ns,412964
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,17778745.0,ns,437256
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,18919751.0,ns,461548
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,19979372.0,ns,485840
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,20731928.0,ns,510132
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,21741891.0,ns,534424
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,22783870.0,ns,558716
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,23688900.0,ns,583008
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,24662939.0,ns,607300
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,25706869.0,ns,631592
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,26649633.0,ns,655884
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,27625509.0,ns,680176
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,28776931.0,ns,704468
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,29687496.0,ns,728760
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,30624080.0,ns,753052
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,31663132.0,ns,777344
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,32594425.0,ns,801636
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,33567409.0,ns,825928
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,34655980.0,ns,850220
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,35546295.0,ns,874512
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,36609860.0,ns,898804
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,37671201.0,ns,923096
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,38582917.0,ns,947388
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,39576269.0,ns,971680
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,40480782.0,ns,995972
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,41544539.0,ns,1020264
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,42506674.0,ns,1044556
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,43513082.0,ns,1068848
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,44521877.0,ns,1093140
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,45552507.0,ns,1117432
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,46460566.0,ns,1141724
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,47424515.0,ns,1166016
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,48599802.0,ns,1190308
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,49419699.0,ns,1214600
