group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,1147988.0,ns,14799
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,1973593.0,ns,29598
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,3117580.0,ns,44397
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,4097340.0,ns,59196
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,5034998.0,ns,73995
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,6038529.0,ns,88794
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,6996459.0,ns,103593
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,8010157.0,ns,118392
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,8981340.0,ns,133191
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,9925196.0,ns,147990
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,10884755.0,ns,162789
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,11852918.0,ns,177588
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,12891127.0,ns,192387
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,13817011.0,ns,207186
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,15027681.0,ns,221985
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,15949722.0,ns,236784
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,16895679.0,ns,251583
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,17832592.0,ns,266382
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,18837096.0,ns,281181
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,19743341.0,ns,295980
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,20756308.0,ns,310779
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,21714355.0,ns,325578
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,22739978.0,ns,340377
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,23734457.0,ns,355176
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,24708320.0,ns,369975
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,25823355.0,ns,384774
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,26752276.0,ns,399573
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,27651014.0,ns,414372
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,28627669.0,ns,429171
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,29702179.0,ns,443970
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,30638419.0,ns,458769
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,31651709.0,ns,473568
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,32717931.0,ns,488367
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,33573548.0,ns,503166
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,34685482.0,ns,517965
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,35549421.0,ns,532764
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,36647882.0,ns,547563
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,37665568.0,ns,562362
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,38538525.0,ns,577161
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,39547824.0,ns,591960
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,40521482.0,ns,606759
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,41597731.0,ns,621558
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,42453507.0,ns,636357
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,43536212.0,ns,651156
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,44605165.0,ns,665955
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,45551779.0,ns,680754
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,46495729.0,ns,695553
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,47446772.0,ns,710352
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,48530197.0,ns,725151
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,49426560.0,ns,739950
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,50707580.0,ns,754749
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,51392397.0,ns,769548
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,52475618.0,ns,784347
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,53447765.0,ns,799146
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,54312791.0,ns,813945
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,55338811.0,ns,828744
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,56400093.0,ns,843543
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,57360956.0,ns,858342
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,58282059.0,ns,873141
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,59331283.0,ns,887940
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,60349882.0,ns,902739
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,61249964.0,ns,917538
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,62330253.0,ns,932337
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,63223940.0,ns,947136
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,64402784.0,ns,961935
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,65308580.0,ns,976734
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,66279875.0,ns,991533
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,67202251.0,ns,1006332
