group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,998411.0,ns,22
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,1995925.0,ns,44
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,3027793.0,ns,66
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,3995552.0,ns,88
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,5239305.0,ns,110
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,5998809.0,ns,132
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,7343815.0,ns,154
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,8069105.0,ns,176
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,8993678.0,ns,198
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,10197750.0,ns,220
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,11000708.0,ns,242
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,11998867.0,ns,264
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,13176821.0,ns,286
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,14072163.0,ns,308
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,15251450.0,ns,330
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,16004342.0,ns,352
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,17122311.0,ns,374
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,18007428.0,ns,396
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,19247513.0,ns,418
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,20039094.0,ns,440
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,21153103.0,ns,462
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,22198988.0,ns,484
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,23006835.0,ns,506
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,24180803.0,ns,528
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,25181441.0,ns,550
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,26198523.0,ns,572
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,27177428.0,ns,594
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,28148672.0,ns,616
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,29771208.0,ns,638
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,30239350.0,ns,660
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,31363318.0,ns,682
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,32367683.0,ns,704
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,33213256.0,ns,726
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,34214107.0,ns,748
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,35553145.0,ns,770
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,36253735.0,ns,792
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,37269847.0,ns,814
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,38336770.0,ns,836
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,39192429.0,ns,858
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,40153257.0,ns,880
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,41343315.0,ns,902
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,42236145.0,ns,924
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,43270663.0,ns,946
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,44187396.0,ns,968
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,45177109.0,ns,990
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,46399818.0,ns,1012
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,47329732.0,ns,1034
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,48320431.0,ns,1056
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,49537292.0,ns,1078
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,50271006.0,ns,1100
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,51187220.0,ns,1122
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,52256250.0,ns,1144
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,53601825.0,ns,1166
decode_lossy/all_bad,encoding_rs* 0.8.28,4096,4096,bytes,54373053.0,ns,1188
