group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,973779.0,ns,1238
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,1889265.0,ns,2476
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,2834015.0,ns,3714
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,3776830.0,ns,4952
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,4744635.0,ns,6190
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,5661560.0,ns,7428
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,6987724.0,ns,8666
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,7723679.0,ns,9904
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,8519156.0,ns,11142
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,9440462.0,ns,12380
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,10487513.0,ns,13618
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,11321581.0,ns,14856
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,12390309.0,ns,16094
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,13352104.0,ns,17332
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,14188069.0,ns,18570
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,15309171.0,ns,19808
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,16097451.0,ns,21046
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,17128376.0,ns,22284
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,17943675.0,ns,23522
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,19004345.0,ns,24760
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,20010282.0,ns,25998
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,20784045.0,ns,27236
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,21843801.0,ns,28474
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,22763062.0,ns,29712
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,23638710.0,ns,30950
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,24690375.0,ns,32188
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,25552658.0,ns,33426
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,26529251.0,ns,34664
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,27471138.0,ns,35902
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,28358814.0,ns,37140
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,29328129.0,ns,38378
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,30371847.0,ns,39616
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,31212421.0,ns,40854
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,32541964.0,ns,42092
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,33591766.0,ns,43330
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,34221138.0,ns,44568
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,35062983.0,ns,45806
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,36130773.0,ns,47044
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,36975739.0,ns,48282
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,37894686.0,ns,49520
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,38786213.0,ns,50758
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,39800855.0,ns,51996
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,40941007.0,ns,53234
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,41913448.0,ns,54472
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,42666116.0,ns,55710
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,43486708.0,ns,56948
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,44556674.0,ns,58186
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,45501748.0,ns,59424
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,46792088.0,ns,60662
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,47863188.0,ns,61900
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,48489060.0,ns,63138
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,49375724.0,ns,64376
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,50341304.0,ns,65614
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,51270638.0,ns,66852
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,52253625.0,ns,68090
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,53202180.0,ns,69328
decode_lossy/all_bad,encoding_rs* 0.8.28,64,64,bytes,54501764.0,ns,70566
