group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,972495.0,ns,48
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,1856805.0,ns,96
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,2908763.0,ns,144
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,3688118.0,ns,192
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,4647069.0,ns,240
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,5540140.0,ns,288
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,6493598.0,ns,336
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,7854022.0,ns,384
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,8512126.0,ns,432
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,9241531.0,ns,480
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,10218607.0,ns,528
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,11215170.0,ns,576
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,12004877.0,ns,624
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,13262636.0,ns,672
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,13993723.0,ns,720
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,14785430.0,ns,768
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,15835601.0,ns,816
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,18635488.0,ns,864
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,26052086.0,ns,912
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,18806041.0,ns,960
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,19843626.0,ns,1008
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,20607143.0,ns,1056
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,21191488.0,ns,1104
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,22250199.0,ns,1152
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,23891578.0,ns,1200
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,24105294.0,ns,1248
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,24841072.0,ns,1296
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,25860024.0,ns,1344
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,26760242.0,ns,1392
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,27648569.0,ns,1440
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,28596600.0,ns,1488
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,29375245.0,ns,1536
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,30463636.0,ns,1584
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,31420049.0,ns,1632
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,32373233.0,ns,1680
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,33742589.0,ns,1728
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,34142480.0,ns,1776
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,34983803.0,ns,1824
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,35960340.0,ns,1872
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,36924798.0,ns,1920
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,37750103.0,ns,1968
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,38740958.0,ns,2016
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,39553983.0,ns,2064
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,40424985.0,ns,2112
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,41660450.0,ns,2160
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,42340693.0,ns,2208
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,43211732.0,ns,2256
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,44214270.0,ns,2304
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,45764405.0,ns,2352
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,46821450.0,ns,2400
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,48094085.0,ns,2448
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,48548960.0,ns,2496
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,49558343.0,ns,2544
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,50394640.0,ns,2592
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,51309194.0,ns,2640
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,52119220.0,ns,2688
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,53167356.0,ns,2736
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,54142980.0,ns,2784
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,55061056.0,ns,2832
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,56071525.0,ns,2880
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,56820491.0,ns,2928
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,58413414.0,ns,2976
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,58871631.0,ns,3024
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,59855524.0,ns,3072
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,60832150.0,ns,3120
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,61552783.0,ns,3168
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,63096038.0,ns,3216
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,64927978.0,ns,3264
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,64632558.0,ns,3312
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,66427597.0,ns,3360
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,66275616.0,ns,3408
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,67885087.0,ns,3456
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,68193822.0,ns,3504
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,69200467.0,ns,3552
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,70060492.0,ns,3600
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,70950798.0,ns,3648
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,71881387.0,ns,3696
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,72843896.0,ns,3744
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,73812231.0,ns,3792
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,75266197.0,ns,3840
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,75808797.0,ns,3888
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,76748156.0,ns,3936
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,77442561.0,ns,3984
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,78691090.0,ns,4032
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,79311830.0,ns,4080
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,80339993.0,ns,4128
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,81274174.0,ns,4176
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,82711410.0,ns,4224
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,83316378.0,ns,4272
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,84080119.0,ns,4320
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,85096422.0,ns,4368
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,85981311.0,ns,4416
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,86833803.0,ns,4464
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,88119306.0,ns,4512
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,89369297.0,ns,4560
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,89786664.0,ns,4608
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,90700545.0,ns,4656
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,91716554.0,ns,4704
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,92613857.0,ns,4752
decode_lossy/all_bad,oem_cp 1.1.0,4096,4096,bytes,93384823.0,ns,4800
